Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1430	4	0.0	0.06020568311214447	0.24937417563740644	0	0	1	2.0	0	2	36.0	121.82937622070312	1	0	0	1	1	0	0	0	0	0	0	0	1182.json	
800	42,42,42,42,42	0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523	0.0,0.0,1.0832955740625039E-4,0.0,0.0	6.459642385036801E-8,4.2584561865216974E-8,1.162113873323149E-8,2.1912809635069812E-8,5.6360672120779E-8	5,5,6,6,6	6,6,6,6,6	8,8,8,8,8	3.41,6.82,7.02,7.02,7.02	3,3,3,3,3	16,15,17,16,15	202.0,198.0,203.0,199.0,195.0	71.81417083740234,71.91817474365234,71.7452621459961,71.82779693603516,71.95433044433594	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	3,3,3,3,3	6,6,6,6,6	0,77,193,469,497	0,1,7,2,2	0,2,14,4,4	0,485,112,33,38	0,18,230,32,7	0,0,0,0,0	0,0,0,0,1	801.json	
1388	4,5	0.0,0.0	0.4936700165271759,0.025717126205563545	0.9094219460666336,0.4562430774336536	0,0	0,0	1,1	3.46,3.92	0,0	1,6	12.0,32.0	129.14767456054688,119.46654510498047	1,1	0,0	0,0	0,0	0,0	0,3	0,2	0,3	0,118	0,32	0,0	0,0	1781.json	
1549	12,14	0.0,0.0	0.22623439133167267,0.43964728713035583	0.05739794520950976,0.02174541088051636	1,1	1,1	3,3	3.83,7.23	2,3	4,4	65.0,70.0	100.07637023925781,97.14387512207031	1,1	0,0	0,0	0,0	3,3	0,541	0,2	0,2	0,149	0,33	0,0	0,0	2809.json	
1407	3	0.0	0.9366090297698975	0.8692330077679516	0	0	1	1.89	0	0	17.0	131.28770446777344	1	0	1	1	0	0	0	0	0	0	0	0	1139.json	
1030	5	0.0	0.6732470989227295	0.3124982083602268	1	1	2	3.92	0	2	33.0	118.43690490722656	1	0	0	1	1	0	0	0	0	0	0	0	2838.json	
1430	4	0.0	0.05946987494826317	0.24535742155202153	0	0	1	2.0	0	2	36.0	121.82937622070312	1	0	0	1	1	0	0	0	0	0	0	0	1170.json	
1437	4,4,4	0.0,0.0,0.0	0.7739533185958862,0.8272207379341125,0.8272207379341125	0.7815674569311712,0.7765990089887028,0.7765990089887028	0,0,0	0,0,0	1,1,1	3.46,3.46,3.46	0,0,0	0,0,0	17.0,17.0,17.0	126.62725830078125,126.62725830078125,126.62725830078125	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,8,150	0,1,0	0,2,0	0,4,0	0,17,1	0,0,0	0,0,0	2100.json	
1494	4,4,4	0.0,0.0,0.0	0.6456195712089539,0.6456195712089539,0.6456195712089539	0.7985693517838186,0.7985693517838186,0.7985693517838186	0,0,0	0,0,0	1,1,1	3.46,3.46,3.46	0,0,0	0,0,0	17.0,17.0,17.0	126.62725830078125,126.62725830078125,126.62725830078125	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,207	0,0,0	0,0,0	0,0,0	0,1,1	0,0,0	0,0,0	2080.json	
1292	4,4	0.0,0.0	0.5210161209106445,0.5210161209106445	0.8003260604111072,0.8003260604111072	0,0	0,0	1,1	3.46,3.46	0,0	1,1	18.0,18.0	126.19583892822266,126.19583892822266	1,1	0,0	0,0	1,1	0,0	0,50	0,0	0,0	0,0	0,27	0,0	0,0	2413.json	
1188	4	0.0	0.6385791897773743	0.8890593805109924	0	0	1	3.46	0	0	17.0	126.62725830078125	1	0	1	1	0	0	0	0	0	0	0	0	1589.json	
1539	4	0.0	0.8761157989501953	0.9448512145260346	0	0	1	3.46	0	0	12.0	128.936767578125	1	0	0	0	0	0	0	0	0	0	0	0	213.json	
1474	21,36,37,37,37,37,37,37,37,37	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0013277536490932107,8.664803463034332E-4,9.762936388142407E-4,8.394354372285306E-4,8.124360465444624E-4,6.271738093346357E-4,5.151776713319123E-4,5.457434454001486E-4,5.438336520455778E-4,5.892859771847725E-4	2.98209966885303E-9,5.926599216913286E-13,5.050706559580641E-13,2.716716495220431E-13,1.2360188977512176E-13,8.200016584238868E-14,3.828273473506555E-14,3.811675807057084E-14,3.855166565499772E-14,1.1714433904890473E-13	2,4,4,4,4,4,4,4,4,4	2,4,4,4,4,4,4,4,4,4	4,7,7,7,7,7,7,7,7,7	10.06,7.97,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86	3,3,3,3,3,3,3,3,3,3	11,12,13,14,14,14,15,15,15,14	152.0,213.0,215.0,218.0,221.0,223.0,226.0,226.0,226.0,222.0	85.46429443359375,73.93057250976562,73.42243957519531,73.35038757324219,73.26388549804688,73.217041015625,73.13236999511719,73.13236999511719,73.13236999511719,73.2558364868164	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	4,4,4,4,4,4,4,4,4,4	6,10,10,10,10,10,10,10,10,10	0,21,237,273,286,721,766,867,1023,1143	0,26,1,1,1,1,1,1,1,2	0,37,2,2,2,2,2,2,2,4	0,509,30,20,21,8,10,5,2,28	0,1,1,2,1,21,40,230,374,32	0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,1,0,0,0,0	966.json	
1385	4	0.0	0.8564833402633667	0.7683282644324768	0	0	1	3.46	0	0	18.0	125.96089172363281	1	0	0	1	0	0	0	0	0	0	0	0	1706.json	
777	79,79,79,79,79	0.02531645569620253,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.02531645569620253	0.0,0.0,0.0,0.0,0.0	9.706805189819742E-20,9.675374333036764E-20,7.377604784297997E-20,1.6601539608158015E-20,1.3132046907845053E-20	14,14,14,14,14	19,19,19,19,19	14,14,14,14,14	9.46,9.46,9.46,9.46,9.46	4,4,4,4,4	45,45,46,48,48	395.0,395.0,395.0,401.0,401.0	56.49437713623047,56.49437713623047,56.47673416137695,56.38100814819336,56.363975524902344	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	6,6,6,6,6	2,2,2,2,2	0,40,73,170,326	0,2,1,2,11	0,4,2,4,22	0,12,12,29,22	0,124,2,230,374	0,0,0,0,0	0,0,0,0,0	944.json	
1279	3,3,3	0.0,0.0,0.0	0.6928300261497498,0.5559430122375488,0.9383834600448608	0.7672984739562945,0.7951215859616946,0.8761153569038302	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	18.0,18.0,17.0	130.99049377441406,130.99049377441406,131.43582153320312	0,0,0	1,1,0	0,0,0	1,1,1	0,0,0	0,16,393	0,1,1	0,2,2	0,19,8	0,9,31	0,0,0	0,0,0	2743.json	
1539	6,15,15,20,10,10,9,9,6,10	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.15829017758369446,0.0045400685630738735,0.004596858285367489,7.083225063979626E-4,0.016481518745422363,0.018459191545844078,0.09167489409446716,0.19666831195354462,0.3721817433834076,0.19059337675571442	0.26248987911270316,0.0022102611090775194,0.0024823141875917245,4.987825575358488E-4,0.04065183107297513,0.03937663246922106,0.09728608055285619,0.18031702954356932,0.3183118880894728,0.1784328140715149	0,3,3,4,1,1,1,1,0,1	0,3,3,4,1,1,1,1,0,1	1,3,3,4,2,2,2,2,1,2	4.0,6.95,6.95,6.25,4.8,4.8,5.03,5.03,4.0,4.8	0,2,2,2,1,1,1,1,0,1	5,13,13,17,9,9,7,6,4,7	36.0,82.0,82.0,102.0,58.0,58.0,49.0,45.0,34.0,50.0	115.4139404296875,95.06539154052734,95.10960388183594,88.9974594116211,104.13898468017578,104.13898468017578,106.72266387939453,107.23184967041016,115.71116638183594,104.9107666015625	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1	0,33,64,108,108,188,220,236,358,802	0,10,1,4,2,2,0,1,1,5	0,11,2,4,14,4,1,2,5,5	0,218,8,96,218,6,39,14,54,110	0,185,61,5,20,4,1,5,13,1	0,0,1,0,0,0,0,0,0,0	0,0,1,0,0,0,0,1,0,0	1931.json	
