Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2817	22,19,19,19,15,10	0.045454545454545456,0.0,0.0,0.0,0.0,0.0	0.09883621335029602,0.07467591017484665,0.09286908805370331,0.09591483324766159,0.13536767661571503,0.13938003778457642	0.0011586655320749274,6.651185887220731E-4,0.0017600003197461114,0.0025356204414212383,0.00809062821837573,0.019284995608698934	2,2,2,2,2,2	2,2,2,2,2,2	4,3,3,3,2,2	3.47,3.45,3.45,3.45,3.22,3.67	2,2,2,2,2,2	4,4,4,4,4,3	105.0,98.0,94.0,92.0,77.0,61.0	87.010009765625,89.9737548828125,90.25672149658203,90.3685531616211,95.46106719970703,103.40232849121094	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3,3,3,3,3,2	0,1289,1670,2028,2163,2253	0,1,1,1,1,1	0,6,2,2,6,7	0,102,8,19,140,159	0,20,1771,95,25,14	0,0,0,0,0,0	0,0,0,0,0,0	1182.json	
6642	7	0.0	0.05979407578706741	0.3260226190902033	0	0	1	1.81	0	6	41.0	112.24042510986328	1	0	0	0	0	0	0	0	0	0	0	0	3371.json	
6260	3,3	0.0,0.0	0.9508231282234192,0.9498080015182495	0.9535600664925228,0.9661515743358945	0,0	0,0	1,1	1.89,1.89	0,0	0,0	13.0,12.0	132.9956512451172,133.59722900390625	0,0	0,0	0,0	0,0	0,0	0,652	0,1	0,2	0,6	0,67	0,0	0,0	801.json	
4597	21	0.2857142857142857	0.021631428971886635	0.008430200597235198	7	7	6	3.61	4	7	105.0	87.55528259277344	0	0	0	0	2	0	0	0	0	0	0	0	4804.json	
6902	2,2,2	0.0,0.5,0.5	0.9081576466560364,0.9287474155426025,0.9339456558227539	0.9139102296763402,0.9312537359015737,0.9062685984893118	0,0,0	0,0,0	1,1,1	0.0,1.89,1.89	0,0,0	0,0,0	11.0,11.0,12.0	140.82913208007812,140.82913208007812,140.16575622558594	1,1,1	0,0,0	0,0,0	1,1,1	0,0,0	0,1331,4741	0,1,1	0,1,2	0,49,10	0,8,555	0,0,0	0,0,0	9048.json	
5601	7,8	0.0,0.0	0.09810061007738113,0.035754282027482986	0.11877821071748935,0.03917851818694357	1,1	1,1	2,2	3.02,2.83	1,1	6,8	47.0,56.0	111.07701873779297,107.87340545654297	0,0	0,0	0,0	2,2	0,0	0,2	0,1	0,1	0,49	0,5	0,0	0,0	1781.json	
6621	26,26,22,22,22,26,25,25	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.014285032637417316,0.014285032637417316,0.004251493606716394,0.004183652810752392,0.004320428241044283,0.0028826629277318716,0.0022791391238570213,0.002450548578053713	0.4261514411057787,0.4261514411057787,0.13579488013613644,0.11882937162203723,0.12020782523497847,0.01137246716691682,0.02733866275453575,0.06422288007393494	3,3,3,3,3,4,4,4	3,3,3,3,3,4,4,4	4,4,4,4,4,5,5,5	9.41,9.41,9.79,9.79,9.79,9.24,9.41,9.41	1,1,1,1,1,1,1,1	2,2,2,2,2,6,6,6	85.0,85.0,85.0,85.0,85.0,105.0,99.0,95.0	85.69522857666016,85.69522857666016,88.44407653808594,88.40150451660156,88.40150451660156,84.21051025390625,85.22711944580078,85.48118591308594	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	3,3,3,3,3,3,2,2	0,314,447,447,447,2418,5474,6059	0,1,16,1,1,4,1,1	0,2,36,2,2,4,3,2	0,4,102,3,6,144,70,28	0,1,33,3,22,73,1771,223	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	2809.json	
6276	16,22,25,25,25,20,20,20,20	0.0625,0.045454545454545456,0.08,0.08,0.08,0.05,0.05,0.05,0.05	0.2877890169620514,0.023861700668931007,0.02790416218340397,0.02790416218340397,0.02645282633602619,0.023378487676382065,0.021928025409579277,0.029003318399190903,0.021683037281036377	0.003997251994734981,1.1707786708979998E-4,7.719345399962974E-4,7.704235225335906E-4,4.39246003000227E-4,4.3915477446556983E-4,4.327371283438764E-4,1.8576784511578533E-4,2.661221754828887E-4	2,3,3,3,3,2,2,2,2	2,3,3,3,3,2,2,2,2	5,6,6,6,6,4,4,4,4	3.05,7.42,7.21,7.21,7.21,7.72,7.72,7.72,7.72	3,3,3,3,3,2,2,2,2	3,3,3,3,3,3,3,5,5	93.0,123.0,123.0,123.0,125.0,112.0,112.0,115.0,113.0	92.78207397460938,85.69556427001953,83.62466430664062,83.62466430664062,83.51000213623047,88.2510757446289,88.2510757446289,88.04930114746094,88.1405258178711	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1	0,41,100,595,648,785,1619,5127,5129	0,7,5,1,1,1,1,1,1	0,8,6,2,2,8,2,2,2	0,277,101,1,22,192,5,17,18	0,15,4,1,6,3,8,105,1771	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	6035.json	
4671	3	0.0	0.8720149993896484	0.9745012874571232	0	0	1	1.89	0	0	12.0	133.59722900390625	1	0	0	0	0	0	0	0	0	0	0	0	1139.json	
3628	3,3	0.0,0.0	0.6753640174865723,0.4972996711730957	0.9214105895360646,0.8377670444935053	0,0	0,0	1,1	1.89,1.89	0,0	2,2	16.0,19.0	131.75106811523438,130.45266723632812	0,0	0,0	0,0	0,0	0,0	0,658	0,1	0,2	0,10	0,131	0,0	0,0	8754.json	
6621	43	0.0	1.3893781579099596E-4	3.362377092064948E-6	6	6	7	10.42	1	16	190.0	72.25798797607422	1	1	0	3	6	0	0	0	0	0	0	0	2838.json	
3872	1	0.0	0.988038957118988	0.9038528685491163	0	0	1	0.0	0	0	12.0	151.39474487304688	1	0	0	0	0	0	0	0	0	0	0	0	8541.json	
6641	4,3	0.0,0.0	0.8894434571266174,0.8567624092102051	0.9706859088889386,0.9379538245767305	0,0	0,0	1,1	1.73,1.89	0,0	0,0	11.0,12.0	129.6001434326172,133.59722900390625	0,1	0,0	0,1	0,0	0,0	0,984	0,2	0,4	0,13	0,9	0,0	0,0	1421.json	
