Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2614	7,9	0.0,0.0	0.1416398584842682,0.4696441888809204	0.5621211446386937,0.41852378472292234	0,2	0,1	2,3	2.56,2.67	1,1	3,4	37.0,47.0	112.54422760009766,106.70935821533203	1,1	0,0	0,0	1,1	1,1	0,560	0,4	0,5	0,66	0,14	0,0	0,1	801.json	
2858	4,4,5	0.0,0.0,0.0	0.26008930802345276,0.26008930802345276,0.13818985223770142	0.7409756986749403,0.7409756986749403,0.7061437382343656	0,0,0	0,0,0	1,1,1	2.0,2.0,1.96	0,0,0	3,3,4	23.0,23.0,28.0	124.92120361328125,124.92120361328125,120.28338623046875	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,2,860	0,4,1	0,4,1	0,0,26	0,14,6	0,0,0	0,0,1	2809.json	
2043	17,13	0.0,0.0	0.2622670829296112,0.5624115467071533	0.05557631477001017,0.19948859928932924	2,2	4,3	5,4	2.58,2.65	1,1	4,2	82.0,63.0	92.5351791381836,98.61444091796875	0,0	0,0	0,0	2,2	0,0	0,6	0,1	0,7	0,185	0,3	0,0	0,0	2838.json	
2039	8,8,8	0.0,0.0,0.0	0.1797625571489334,0.1754266619682312,0.3878587782382965	0.0803672902905144,0.10311085574142641,0.3405561157601056	1,1,1	1,1,1	2,2,2	2.4,2.4,2.4	1,1,1	5,5,3	51.0,50.0,43.0	108.29985046386719,108.46271514892578,109.3763427734375	1,1,1	0,0,0	0,0,0	1,1,1	1,1,1	0,3,109	0,1,1	0,2,2	0,6,57	0,11,19	0,0,0	0,0,1	1421.json	
3108	3,5,2,5,13,13	0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693	0.6808509230613708,0.7347264289855957,0.9304451942443848,0.7190183997154236,0.3702451288700104,0.37375420331954956	0.8554589583152653,0.8768668881502425,0.9461439474961907,0.8477880027296161,0.5117342759753483,0.5044977867028597	0,1,0,1,2,2	0,1,0,1,2,2	1,2,1,2,3,3	1.89,2.99,0.0,2.99,3.09,3.09	0,1,0,1,1,1	1,1,0,1,3,3	16.0,22.0,11.0,23.0,55.0,55.0	131.75106811523438,121.30742645263672,140.82913208007812,120.95380401611328,99.59846496582031,99.59846496582031	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,1,1	0,23,96,418,1215,1287	0,3,2,5,15,1	0,4,7,7,20,2	0,51,82,86,387,4	0,16,37,37,5,41	0,0,0,0,0,0	0,0,1,0,1,1	711.json	
2485	3	0.0	0.8382989168167114	0.9947996701008416	0	0	1	1.89	0	1	14.0	132.79563903808594	1	0	0	0	0	0	0	0	0	0	0	0	2286.json	
3710	5,5	0.0,0.0	0.08296491950750351,0.3906652629375458	0.5724893076918748,0.8417127031896502	0,0	0,0	2,2	2.99,2.99	1,1	1,1	29.0,24.0	119.26190948486328,120.73249816894531	0,0	0,0	0,0	1,1	1,1	0,666	0,1	0,2	0,41	0,96	0,0	0,0	1359.json	
1759	16,16,16,17,16,22,23,23,32,30,3	0.0,0.1875,0.1875,0.17647058823529413,0.1875,0.13636363636363635,0.13043478260869565,0.13043478260869565,0.09375,0.1,0.0	0.049809008836746216,0.011612338945269585,0.011612338945269585,0.005511418450623751,0.011612338945269585,7.413611747324467E-4,7.352797547355294E-4,0.00109085813164711,7.225072477012873E-4,8.461336838081479E-4,0.8045333027839661	0.009665876114821361,0.014056729015059423,0.01403468998515295,0.0015748852956925057,0.01403468998515295,1.1176510208489254E-7,2.390635009239547E-7,3.018647171970611E-7,8.788840072656658E-10,1.502807272499073E-9,0.9305608693113739	0,0,0,0,0,3,3,3,3,3,0	0,0,0,0,0,3,3,3,3,3,0	3,3,3,3,3,5,5,5,7,7,1	4.99,4.84,4.84,4.72,4.84,3.67,4.9,4.9,4.33,4.4,1.89	3,3,3,3,3,2,3,3,3,3,0	7,7,7,10,7,15,15,15,17,16,1	85.0,85.0,85.0,96.0,85.0,157.0,152.0,150.0,195.0,188.0,15.0	93.56404113769531,93.56404113769531,93.56404113769531,91.82035064697266,93.56404113769531,84.3351821899414,83.78336334228516,83.82942199707031,76.48898315429688,77.72460174560547,132.25152587890625	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	2,2,2,2,2,3,3,3,5,5,0	0,0,0,16,16,83,85,87,98,100,100	0,3,1,1,0,18,11,2,11,1,1	0,4,2,1,1,27,23,4,12,4,34	0,329,2,98,98,440,127,20,558,80,1650	0,2,2,8,2,2,11,3,4,2,5	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,1,0	2100.json	
2093	3	0.0	0.8270229697227478	0.902940523195443	0	0	1	1.89	0	0	14.0	132.79563903808594	1	0	0	1	0	0	0	0	0	0	0	0	2080.json	
3163	30	0.0	0.0	1.14277331645143E-20	0	0	1	1.0	0	43	351.0	76.07038879394531	0	1	0	0	2	0	0	0	0	0	0	0	2413.json	
