Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
349	3	0.0	0.16520652174949646	0.860151632777843	0	0	1	1.89	0	0	16.0	131.46876525878906	0	0	0	0	0	0	0	0	0	0	0	0	1182.json	
518	13,13,13,4	0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0	0.04449949786067009,0.04449949786067009,0.04449949786067009,0.7389006018638611	2.4768415675155615E-4,2.4768415675155615E-4,2.4768415675155615E-4,0.5906492136497289	1,1,1,0	1,1,1,0	3,3,3,1	2.8,2.8,2.8,2.0	1,1,1,0	8,8,8,1	97.0,97.0,97.0,27.0	96.38685607910156,96.38685607910156,96.38685607910156,123.65223693847656	0,0,0,0	1,1,1,1	0,0,0,0	1,1,1,1	3,3,3,1	0,0,141,289	0,0,0,1	0,0,0,13	0,0,0,435	0,8,0,102	0,0,0,0	0,0,0,1	801.json	
349	6,6,7	0.0,0.0,0.0	0.03900589793920517,0.03585253283381462,0.03620511293411255	0.06881044206130382,0.06832112800913843,0.037624377699423506	0,0,0	0,0,0	1,1,1	3.59,3.59,3.52	0,0,0	6,6,7	46.0,46.0,51.0	113.6697998046875,113.6697998046875,110.52943420410156	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,67,242	0,2,1	0,4,1	0,12,38	0,4,6	0,0,0	0,0,0	1139.json	
348	3	0.0	0.0	0.8497340885722718	0	0	1	1.89	0	1	17.0	131.28770446777344	1	0	0	1	0	0	0	0	0	0	0	0	1170.json	
1093	3,3,3,3	0.0,0.0,0.0,0.0	0.7572261095046997,0.7572261095046997,0.7572261095046997,0.16848377883434296	0.8302763866310411,0.8302763866310411,0.8302763866310411,0.6742496632188709	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,1	18.0,18.0,18.0,22.0	130.7338104248047,130.7338104248047,130.7338104248047,129.47398376464844	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,333,420,692	0,0,0,2	0,0,0,4	0,0,0,34	0,28,39,20	0,0,0,0	0,0,0,0	1058.json	
203	3,4	0.0,0.0	0.6885448694229126,0.1263108253479004	0.9181631896613279,0.16272515925482361	0,1	0,1	1,2	1.89,2.0	0,0	1,4	15.0,37.0	132.25152587890625,121.38679504394531	1,1	0,0	1,0	0,0	0,1	0,138	0,3	0,5	0,91	0,67	0,0	0,0	213.json	
729	5,5,5	0.0,0.0,0.0	0.0016888255486264825,0.0016888255486264825,2.1210763952694833E-4	0.01216524028454408,0.01216524028454408,0.009776577101391622	0,0,0	0,0,0	1,1,1	1.96,1.96,1.96	0,0,0	4,4,5	53.0,53.0,55.0	115.94388580322266,115.94388580322266,115.81116485595703	0,0,0	0,0,0	0,0,0	4,4,4	0,0,0	0,56,412	0,0,1	0,0,2	0,0,34	0,39,9	0,0,0	0,0,0	966.json	
107	3	0.0	0.10429917275905609	0.6194067959589704	0	0	1	1.89	0	1	22.0	129.57785034179688	1	0	0	1	0	0	0	0	0	0	0	0	944.json	
354	3	0.0	0.6029340028762817	0.8039161202684693	0	0	1	1.89	0	0	17.0	131.03103637695312	1	0	1	0	0	0	0	0	0	0	0	0	1318.json	
328	6,6	0.3333333333333333,0.3333333333333333	0.908389687538147,0.780815601348877	0.8090374169739178,0.5601859408953196	1,1	1,1	2,2	2.4,2.4	1,1	0,1	32.0,37.0	116.17046356201172,115.04146575927734	0,0	1,1	0,0	1,1	0,0	0,221	0,1	0,2	0,19	0,43	0,0	0,0	1198.json	
