Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2972	8,7,8,8,5,5	0.0,0.0,0.0,0.0,0.0,0.0	0.06240915507078171,0.26341456174850464,0.19241130352020264,0.19241130352020264,0.2210540920495987,0.2210540920495987	0.03179768596791001,0.41702314481200614,0.40715789927403295,0.40715789927403295,0.3949602419033643,0.3949602419033643	4,1,1,1,0,0	3,1,1,1,0,0	2,2,2,2,1,1	3.71,2.56,2.83,2.83,2.99,2.99	1,1,1,1,0,0	4,3,3,3,3,3	54.0,38.0,40.0,40.0,32.0,32.0	107.74124908447266,112.11597442626953,109.62306213378906,109.62306213378906,118.82691955566406,118.82691955566406	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2,1,1,1,1,1	1,1,1,1,1,1	0,42,891,1122,1472,1807	0,2,2,0,1,0	0,5,3,0,5,0	0,139,33,0,67,0	0,20,1328,51,98,137	0,0,0,0,0,0	0,0,0,0,0,0	1182.json	
2479	3,3,3,3	0.0,0.0,0.0,0.0	0.9312458634376526,0.9312458634376526,0.939502477645874,0.9542380571365356	0.9477190821908456,0.9477190821908456,0.9494163875610995,0.9443628642271453	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	12.0,12.0,12.0,12.0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,629,873,1313	0,0,1,1	0,0,2,2	0,0,8,12	0,51,34,137	0,0,0,0	0,0,0,0	3371.json	
1095	4	0.0	0.2869122624397278	0.8784657695691203	0	0	1	2.0	0	0	20.0	125.64796447753906	1	0	0	1	0	0	0	0	0	0	0	0	801.json	
2081	5,5,5	0.0,0.0,0.0	0.40400925278663635,0.40400925278663635,0.40400925278663635	0.724871575240123,0.724871575240123,0.724871575240123	0,0,0	0,0,0	1,1,1	3.58,3.58,3.58	0,0,0	1,1,1	27.0,27.0,27.0	120.03731536865234,120.03731536865234,120.03731536865234	1,1,1	1,1,1	0,0,0	2,2,2	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,51,137	0,0,0	0,0,0	1781.json	
3110	3,3,13,14,14,14,14,14	0.0,0.0,0.07692307692307693,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142	0.9476492404937744,0.9476492404937744,0.20605634152889252,0.20881351828575134,0.20881351828575134,0.20881351828575134,0.20881351828575134,0.20881351828575134	0.9727856062081108,0.9727856062081108,0.0026056439397376483,0.0045595436691282885,0.0045595436691282885,0.0045595436691282885,0.0045595436691282885,0.0045595436691282885	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,3,3,3,3,3,3	1.89,1.89,4.17,5.24,5.24,5.24,5.24,5.24	0,0,2,2,2,2,2,2	0,0,4,4,4,4,4,4	12.0,12.0,85.0,85.0,85.0,85.0,85.0,85.0	133.59722900390625,133.59722900390625,96.86152648925781,95.66098022460938,95.66098022460938,95.66098022460938,95.66098022460938,95.66098022460938	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,3,3,3,3,3,3	0,25,89,189,190,1029,1260,1945	0,0,15,1,0,0,0,0	0,0,16,2,0,0,0,0	0,0,526,25,0,0,0,0	0,29,7,23,18,1328,51,137	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0	2809.json	
2081	6,6,6	0.0,0.0,0.0	0.21988624334335327,0.19154341518878937,0.19154341518878937	0.75427031871495,0.7601414167688942,0.7601414167688942	0,0,0	0,0,0	1,1,1	4.99,4.99,4.99	0,0,0	2,2,2	28.0,28.0,28.0	116.89459228515625,116.89459228515625,116.89459228515625	1,0,0	0,0,0	0,0,0	2,2,2	0,0,0	0,231,916	0,1,0	0,2,0	0,13,0	0,51,137	0,0,0	0,0,0	1139.json	
2919	3,3,3,3	0.0,0.0,0.0,0.0	0.6254446506500244,0.6254446506500244,0.6254446506500244,0.6254446506500244	0.8948415346686686,0.8948415346686686,0.8948415346686686,0.8948415346686686	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	17.0,17.0,17.0,17.0	131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,837,1069,1753	0,0,0,0	0,0,0,0	0,0,0,0	0,1328,51,137	0,0,0,0	0,0,0,0	2838.json	
2081	22,22,22,23,25,26,28	0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0	0.01639813743531704,0.01639813743531704,0.01639813743531704,0.012413550168275833,0.0019660284742712975,0.001727117458358407,8.288412354886532E-4	0.0011261166550044896,0.0011261166550044896,0.0011261166550044896,0.0011050356201705025,4.0258236900588894E-5,4.4250822992540495E-5,6.41900418760118E-6	2,2,2,2,2,2,2	1,1,1,1,1,1,1	2,2,2,2,2,2,2	4.16,4.16,4.16,4.15,4.15,4.15,4.14	1,1,1,1,1,1,1	5,5,5,5,6,6,7	108.0,108.0,108.0,110.0,129.0,131.0,144.0	87.3897933959961,87.3897933959961,87.3897933959961,86.57425689697266,84.32868194580078,83.6133041381836,81.8582763671875	0,0,0,0,0,0,0	1,1,1,1,1,1,1	0,0,0,0,0,0,0	3,3,3,3,3,3,3	4,4,4,4,5,5,6	0,231,916,1275,1276,1461,1772	0,0,0,3,3,1,3	0,0,0,5,5,1,4	0,0,0,97,256,22,117	0,51,137,23,1,26,18	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1421.json	
1165	4	0.0	0.5675897002220154	0.9184667410884924	0	0	1	2.0	0	0	20.0	125.64796447753906	1	0	0	1	0	0	0	0	0	0	0	0	711.json	
757	6	0.0	0.6859204769134521	0.8105880313271756	1	1	2	2.75	1	1	27.0	116.7638931274414	1	1	0	1	0	0	0	0	0	0	0	0	2286.json	
605	4	0.0	0.24037298560142517	0.13564073743353033	0	0	1	2.0	0	2	36.0	121.62992095947266	1	0	0	2	1	0	0	0	0	0	0	0	1170.json	
2914	12,16,20,20,20	0.08333333333333333,0.0625,0.05,0.05,0.05	0.8647686243057251,0.2700878977775574,0.22194063663482666,0.22194063663482666,0.22194063663482666	0.8031805064509455,0.20066380744252174,0.46333572109249394,0.46333572109249394,0.46333572109249394	4,5,5,5,5	4,5,5,5,5	4,5,5,5,5	3.37,3.89,5.16,5.16,5.16	2,2,2,2,2	4,6,6,6,6	50.0,73.0,75.0,75.0,75.0	101.4341812133789,94.25459289550781,90.32533264160156,90.32533264160156,90.32533264160156	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,250,832,1064,1748	0,5,9,0,0	0,5,14,0,0	0,232,164,0,0	0,327,1328,51,137	0,0,0,0,0	0,0,0,0,0	1359.json	
3343	3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0	0.7745840549468994,0.7719241976737976,0.018765049055218697,0.018765049055218697,0.018765049055218697,0.018765049055218697	0.8738127604356563,0.9638387165881142,0.6668401761626206,0.6668401761626206,0.6668401761626206,0.6668401761626206	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.77,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0	0,0,0,0,0,0	14.0,14.0,23.0,23.0,23.0,23.0	132.4454345703125,132.4454345703125,129.14646911621094,129.14646911621094,129.14646911621094,129.14646911621094	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	1,1,4,4,4,4	0,0,0,0,0,0	0,374,680,1262,1493,2178	0,0,3,0,0,0	0,0,6,0,0,0	0,28,72,0,0,0	0,0,327,1328,51,137	0,0,0,0,0,0	0,1,0,0,0,0	2100.json	
2081	3,3,3	0.0,0.0,0.0	0.6242910623550415,0.6242910623550415,0.6242910623550415	0.7506634303308314,0.7506634303308314,0.7506634303308314	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	21.0,21.0,21.0	129.93223571777344,129.93223571777344,129.93223571777344	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,51,137	0,0,0	0,0,0	2080.json	
