Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
995	3	0.0	0.3875032663345337	0.762352517904233	0	0	1	0.94	0	0	20.0	130.07347106933594	1	0	1	1	0	0	0	0	0	0	0	0	1182.json	
1856	3,3,3	0.0,0.0,0.0	0.9275093078613281,0.9275093078613281,0.28876277804374695	0.8006502860342426,0.8006502860342426,0.7734703753298329	0,0,0	0,0,0	1,1,1	0.94,0.94,0.94	0,0,0	1,1,1	19.0,19.0,18.0	130.70933532714844,130.70933532714844,130.99049377441406	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,83,158	0,0,0	0,0,0	0,0,33	0,1,0	0,0,0	0,0,0	1781.json	
860	3	0.3333333333333333	0.9991223216056824	0.950744318315381	0	0	1	4.0	0	1	13.0	133.18099975585938	1	0	0	0	0	0	0	0	0	0	0	0	2809.json	
1581	3	0.0	0.6909599900245667	0.885657586982938	0	0	1	0.94	0	0	12.0	133.59722900390625	1	0	1	0	0	0	0	0	0	0	0	0	1139.json	
1070	17,14	0.23529411764705882,0.07142857142857142	0.0015431438805535436,0.026322215795516968	8.189718945574607E-6,8.486174784690096E-4	6,7	5,9	5,5	8.39,6.49	4,2	17,14	125.0,95.0	90.08283996582031,95.04803466796875	1,1	0,0	0,0	0,0	2,0	0,139	0,8	0,21	0,454	0,6	0,0	0,0	2838.json	
999	4	0.0	0.5795608758926392	0.7943135888149147	0	0	1	1.0	0	0	20.0	125.64796447753906	1	0	0	1	0	0	0	0	0	0	0	0	1421.json	
1928	4,3,3,3	0.0,0.0,0.0,0.0	0.009931056760251522,0.31270354986190796,0.31270354986190796,0.31270354986190796	0.5212941708555172,0.7554333014888288,0.7554333014888288,0.7554333014888288	0,0,0,0	0,0,0,0	1,1,1,1	1.66,0.94,0.94,0.94	0,0,0,0	2,2,2,2	26.0,20.0,20.0,20.0	123.8484878540039,130.30841064453125,130.30841064453125,130.30841064453125	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,57,155,230	0,1,0,0	0,3,0,0	0,73,0,0	0,44,44,0	0,0,0,0	0,0,0,0	2286.json	
1632	8,8	0.0,0.0	0.7957940101623535,0.7962571382522583	0.5331220091204377,0.24764051527812259	4,4	3,3	3,3	3.87,1.94	2,2	1,1	40.0,42.0	109.39305877685547,109.02239990234375	1,1	0,0	0,0	0,0	0,0	0,220	0,1	0,2	0,42	0,1	0,0	0,1	1170.json	
1577	12,12	0.08333333333333333,0.08333333333333333	0.006891561672091484,0.004499136935919523	8.013698519017598E-4,5.079394376674277E-4	0,0	0,0	1,1	3.72,3.72	1,1	4,4	81.0,83.0	98.93514251708984,98.77467346191406	1,1	0,0	0,0	4,4	0,0	0,1261	0,1	0,2	0,13	0,43	0,0	0,0	1359.json	
1674	3	0.0	0.023737872019410133	0.45023628629596635	0	0	1	0.94	0	0	26.0	128.60531616210938	1	0	1	0	0	0	0	0	0	0	0	0	2100.json	
1790	3,3,3,3,3	0.0,0.0,0.0,0.0,0.0	0.9129460453987122,0.9080740213394165,0.9038982391357422,0.8967178463935852,0.8967178463935852	0.9695031591015274,0.9690473070292072,0.9555811944650325,0.9557926725172665,0.9557926725172665	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,0.94,0.94,0.94	0,0,0,0,0	0,0,0,0,0	12.0,12.0,12.0,12.0,12.0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	1,1,1,1,1	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,3,4,10,92	0,1,3,1,0	0,2,6,2,0	0,1,8,1,0	0,10,0,12,0	0,0,0,0,0	0,0,0,0,0	2080.json	
1582	5,5,6,8,8	0.4,0.6,0.5,0.25,0.25	0.0,3.4327665343880653E-4,2.3280766617972404E-4,1.7885142005980015E-4,2.6517236256040633E-4	0.0029032756473847004,0.007012326904808308,3.1170034120717296E-4,7.35114895005093E-5,1.2599737191573292E-4	0,0,0,1,1	0,0,0,1,1	1,1,1,2,2	1.85,1.73,1.63,2.23,2.23	0,0,0,1,1	9,8,11,12,11	64.0,61.0,80.0,89.0,86.0	114.74969482421875,114.99933624267578,110.3744888305664,104.81859588623047,104.99689483642578	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,4,6,6,193	0,2,4,6,1	0,3,6,11,2	0,77,133,50,14	0,1,9,11,35	0,0,0,0,0	0,0,0,0,0	2413.json	
1649	6	0.0	0.0052425796166062355	0.2297971318800699	0	0	1	2.21	0	1	37.0	114.98188781738281	1	0	0	4	0	0	0	0	0	0	0	0	1589.json	
1591	3,3,3,3	0.0,0.0,0.0,0.0	0.9676652550697327,0.9676652550697327,0.970599353313446,0.9662834405899048	0.8023382080241639,0.8023382080241639,0.825103748117846,0.840065448621389	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,0.94	0,0,0,0	1,1,1,1	17.0,17.0,17.0,17.0	131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,1,1	0,0,1,4	0,0,2,8	0,0,7,16	0,0,25,8	0,0,0,0	0,0,1,0	1058.json	
1280	4	0.0	0.06301693618297577	0.49495648169135054	0	0	1	1.0	0	0	27.0	123.56243133544922	1	0	0	1	0	0	0	0	0	0	0	0	1706.json	
1754	26,29,32,33,33,33,44,45,46,46,48,48,51,51,23,24,24,24,27,9,24,31,33,41,43,45,50	0.07692307692307693,0.06896551724137931,0.0625,0.06060606060606061,0.09090909090909091,0.12121212121212122,0.09090909090909091,0.08888888888888889,0.08695652173913043,0.08695652173913043,0.10416666666666667,0.10416666666666667,0.09803921568627451,0.09803921568627451,0.043478260869565216,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.037037037037037035,0.1111111111111111,0.041666666666666664,0.03225806451612903,0.030303030303030304,0.024390243902439025,0.023255813953488372,0.022222222222222223,0.02	3.535380819812417E-4,2.743804070632905E-4,2.2093119332566857E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12015964090824127,0.10639301687479019,0.10556203871965408,0.10961911082267761,0.05901049077510834,0.12293422967195511,0.10961911082267761,0.0,0.0,0.0,0.0,0.0,0.0	1.3977031154251016E-6,5.924263586240812E-8,9.715257900294331E-11,3.185826314252661E-11,4.859977489943791E-11,9.104584684624389E-11,3.783915282274937E-12,1.1314649089579485E-11,6.188005232335615E-12,5.9008791532049716E-12,5.459232291057412E-11,2.4491530043677688E-11,6.547432060039987E-11,3.621007081331738E-11,0.007247538738335348,0.006418058589231304,0.005549599935306212,0.005731576016728826,0.0016023143543091797,0.4389658320617675,0.005731576016728826,4.73546660041089E-8,2.8604492139871815E-8,5.32283841203132E-13,3.688038549757528E-13,2.5027515795134016E-14,1.2338751459372085E-15	4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,4,7,7,9,9,9,10	4,5,5,5,5,5,7,8,8,8,9,9,9,9,4,4,4,4,5,1,4,6,7,10,11,11,12	6,7,7,7,7,7,9,10,10,10,11,11,11,11,6,6,6,6,7,2,6,7,8,9,10,10,11	2.43,2.38,2.35,2.32,2.3,2.34,3.19,3.5,3.52,3.52,3.49,3.49,4.07,4.07,2.33,2.29,2.29,2.29,2.21,1.4,2.29,2.46,3.33,3.68,3.62,3.56,3.46	3,3,3,3,3,3,4,4,4,4,4,4,5,5,3,3,3,3,3,1,3,3,3,3,3,3,3	14,16,21,22,22,22,25,23,24,24,22,22,21,21,9,9,9,9,11,5,9,21,21,34,34,36,39	140.0,160.0,198.0,204.0,204.0,202.0,246.0,242.0,247.0,247.0,243.0,247.0,246.0,248.0,109.0,112.0,112.0,112.0,125.0,44.0,112.0,176.0,182.0,252.0,258.0,274.0,294.0	82.04203796386719,79.25631713867188,76.46878814697266,75.77520751953125,75.77520751953125,75.80708312988281,69.60600280761719,69.07923126220703,68.61682891845703,68.61682891845703,67.80022430419922,67.71532440185547,66.73633575439453,66.67658996582031,85.63548278808594,84.8048324584961,84.77313995361328,84.77313995361328,82.0332260131836,107.4930648803711,84.77313995361328,77.65845489501953,76.21991729736328,70.73979949951172,69.6158676147461,68.46968841552734,66.07823944091797	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2	0,2,7,7,10,15,16,16,25,56,114,125,274,309,327,331,362,373,648,660,702,829,861,864,886,896,1061	0,3,15,5,1,2,42,12,1,0,2,2,42,1,16,1,1,2,3,7,29,7,8,8,2,4,6	0,3,26,9,1,3,69,23,1,0,4,4,81,2,61,1,2,4,3,36,37,8,14,8,2,4,7	0,119,600,94,109,110,557,426,42,27,260,64,163,12,1677,15,9,12,82,824,746,481,66,568,45,134,129	0,18,15,7,1,1,1,2,2,0,2,5,2,2,5,1,4,14,2,2,2,7,1,7,3,7,10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0	944.json	
1686	3	0.0	0.4127136766910553	0.8311905486638008	0	0	1	0.94	0	1	15.0	132.086669921875	1	0	0	0	0	0	0	0	0	0	0	0	2743.json	
1732	3,3	0.0,0.0	0.03695756569504738,0.03695756569504738	0.7936445167549283,0.7936445167549283	0,0	0,0	1,1	0.94,0.94	0,0	0,0	17.0,17.0	131.28770446777344,131.28770446777344	1,1	0,0	1,1	1,1	0,0	0,34	0,0	0,0	0,0	0,0	0,0	0,0	2638.json	
1648	7	0.0	0.027359813451766968	0.0713475325831811	0	0	2	1.28	1	2	50.0	110.7552719116211	1	0	0	1	2	0	0	0	0	0	0	0	1931.json	
1838	17,17,17,17,17,17,3	0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0	0.03339666873216629,0.05932559818029404,0.05752610042691231,0.046879205852746964,0.046879205852746964,0.02623838745057583,0.544370710849762	0.0030979830294956124,0.003914004294188982,0.003818509958994658,0.003921716296007093,0.003921716296007093,0.003105805440905598,0.8746778965132876	5,5,5,5,5,5,0	5,5,5,5,5,5,0	4,4,4,4,4,4,1	2.03,2.03,2.03,2.03,2.03,2.03,0.94	2,2,2,2,2,2,0	6,6,6,6,6,6,1	88.0,87.0,87.0,87.0,87.0,88.0,15.0	92.44053649902344,92.54418182373047,92.54418182373047,92.54418182373047,92.54418182373047,92.44053649902344,132.086669921875	1,0,0,0,0,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,1	0,0,0,0,0,0,0	2,2,2,2,2,2,0	0,6,13,26,34,61,140	0,1,1,1,1,1,0	0,2,2,2,2,2,0	0,10,12,16,0,10,474	0,3,21,12,50,6,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1779.json	
1754	10,10,10,10	0.0,0.0,0.0,0.0	0.11033248901367188,0.11033248901367188,0.11442933231592178,0.11442933231592178	0.3470247848307869,0.3470247848307869,0.2867834032687417,0.29731558099600075	2,2,2,2	2,2,2,2	3,3,3,3	1.26,1.26,1.26,1.26	1,1,1,1	3,3,3,3	48.0,48.0,49.0,49.0	105.0295181274414,105.0295181274414,104.85218811035156,104.85218811035156	0,0,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,56,373,472	0,0,1,2	0,0,2,4	0,0,7,10	0,0,14,2	0,0,0,0	0,0,0,0	847.json	
1520	3	0.0	0.9652870297431946	0.8361811392539459	0	0	1	0.94	0	0	18.0	130.99049377441406	1	0	0	0	0	0	0	0	0	0	0	0	1318.json	
1597	3	0.0	0.5284808874130249	0.5891467663862461	0	0	1	0.94	0	3	23.0	129.34671020507812	1	0	0	1	0	0	0	0	0	0	0	0	2373.json	
