Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2825	4,7,10,10,10,10,10,10,12,12,12	0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.08333333333333333,0.08333333333333333,0.0	0.28509795665740967,0.3517388701438904,0.34104645252227783,0.34015849232673645,0.34015849232673645,0.5373042225837708,0.5373042225837708,0.5373042225837708,0.6439187526702881,0.6439187526702881,0.4394298493862152	0.3188054531952279,0.03695133261652919,0.03454907513323125,0.03520952198276956,0.03520952198276956,0.0508137297704965,0.0508137297704965,0.0508137297704965,0.04914582781411625,0.04914582781411625,0.032594125898283886	0,1,3,3,3,3,3,3,4,4,3	0,1,2,2,2,2,2,2,3,3,3	1,2,3,3,3,3,3,3,4,4,4	4.0,5.11,4.82,4.82,4.82,4.82,4.82,4.82,4.92,4.92,5.12	0,1,1,1,1,1,1,1,1,1,1	2,2,3,3,3,3,3,3,3,3,3	30.0,48.0,59.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0	122.7774429321289,110.51692962646484,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,99.73906707763672,99.73906707763672,99.73906707763672	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,333,601,711,907,1148,1148,1228	0,4,6,1,0,4,0,0,9,0,1	0,5,7,2,0,7,0,0,16,0,3	0,131,149,10,0,34,0,0,283,0,70	0,3,4,3,0,7,0,0,34,0,33	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1182.json	
414	3	0.0	0.04067150875926018	0.4687865380352112	0	0	1	3.77	0	1	22.0	129.69032287597656	1	0	0	2	0	0	0	0	0	0	0	0	801.json	
581	3	0.0	0.6645632386207581	0.5027589444385833	0	0	1	3.77	0	1	21.0	129.7158966064453	0	0	0	2	0	0	0	0	0	0	0	0	4804.json	
2113	4,4,4	0.0,0.0,0.0	0.4677131474018097,0.5008876919746399,0.5008876919746399	0.570667849091931,0.5530742198379778,0.5530742198379778	0,0,0	0,0,0	1,1,1	4.0,4.0,4.0	0,0,0	1,1,1	23.0,23.0,23.0	124.48601531982422,124.48601531982422,124.48601531982422	1,1,1	0,0,0	0,0,0	1,1,1	0,0,0	0,58,195	0,1,0	0,2,0	0,11,0	0,2,0	0,0,0	0,0,0	2809.json	
889	8,8,8,20,29,29,30,30,30,30,30,30,29,30,28,28,28,28,28,33,35,35,27,29,29	0.0,0.0,0.0,0.2,0.20689655172413793,0.20689655172413793,0.2,0.2,0.2,0.2,0.2,0.2,0.20689655172413793,0.2,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.18181818181818182,0.17142857142857143,0.17142857142857143,0.2222222222222222,0.20689655172413793,0.20689655172413793	0.009049191139638424,0.009049191139638424,0.022686654701828957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.003344094321284096,0.003344094321284096,0.0024945694149856356,5.7723727036290615E-6,2.212292002345346E-8,2.5655713475068986E-8,2.3886736090274842E-8,2.228708071559302E-8,2.228708071559302E-8,1.0424290065638884E-9,9.996971180526648E-10,4.611622307577198E-11,2.1004449807128457E-10,4.6591272998595585E-11,1.46242579745739E-8,1.4652693584036735E-8,5.197106205517508E-7,5.197106205517508E-7,5.172616137169394E-7,2.6393135707814798E-8,1.5905378481134405E-8,1.5905378481134405E-8,6.9818226881388625E-6,1.8270266473603943E-6,1.2557737965109514E-6	0,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5	0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4	1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5	3.46,3.46,3.46,7.18,6.99,6.99,6.9,6.9,6.9,6.9,6.9,6.9,6.99,7.34,7.38,7.38,7.38,7.38,7.38,7.76,8.26,8.26,8.79,10.26,10.26	0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4	10,10,8,14,19,19,20,20,20,20,20,23,21,23,19,19,17,17,17,20,20,20,16,17,17	70.0,70.0,73.0,142.0,196.0,195.0,200.0,199.0,199.0,210.0,209.0,221.0,211.0,219.0,190.0,190.0,172.0,172.0,172.0,195.0,200.0,200.0,156.0,167.0,169.0	106.71954345703125,106.71954345703125,106.55342102050781,87.08528900146484,79.02742004394531,79.05401611328125,78.37316131591797,78.36843872070312,78.36843872070312,77.94669342041016,77.94525909423828,77.5560302734375,78.34602355957031,77.55716705322266,79.55855560302734,79.55855560302734,80.15691375732422,80.15691375732422,80.15691375732422,76.73615264892578,75.60185241699219,75.60185241699219,81.4837875366211,79.6610336303711,79.59912872314453	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3	2,2,2,5,6,6,7,7,7,7,7,7,7,7,5,5,4,4,4,5,5,5,4,4,4	0,0,9,22,25,28,86,86,94,219,219,225,232,287,287,287,287,287,287,308,308,386,399,399,442	0,0,1,25,14,1,3,1,0,4,1,4,1,2,11,1,18,0,1,10,4,0,16,6,1	0,0,2,32,16,2,4,2,0,8,2,8,3,3,24,2,37,0,2,15,6,0,40,9,2	0,0,57,782,510,10,59,13,0,155,11,144,79,62,365,13,444,0,8,455,77,0,1249,68,16	0,15,13,9,7,3,17,2,0,7,4,6,20,40,24,39,50,6,50,13,80,14,1,40,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	6035.json	
1050	3,3,4	0.0,0.0,0.0	0.002770583378151059,0.002770583378151059,0.006527940277010202	0.37257938772040644,0.37257938772040644,0.12939112366978522	0,0,0	0,0,0	1,1,1	3.77,3.77,4.0	0,0,0	1,1,2	26.0,26.0,36.0	128.60531616210938,128.60531616210938,121.82937622070312	1,1,1	0,0,0	0,0,0	1,1,1	0,0,1	0,468,468	0,0,2	0,0,3	0,0,80	0,32,46	0,0,0	0,0,0	1139.json	
2113	3,3,3	0.0,0.0,0.0	0.03664866089820862,0.03664866089820862,0.0017890013987198472	0.18755827206993225,0.18755827206993225,0.09819986613573105	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	30.0,30.0,35.0	127.51214599609375,127.51214599609375,126.63631439208984	1,1,1	0,0,0	0,0,0	2,2,3	0,0,0	0,195,1531	0,0,2	0,0,4	0,0,37	0,0,56	0,0,0	0,0,0	2838.json	
1366	3	0.0	0.572073221206665	0.8240886393181183	0	0	1	3.77	0	1	18.0	130.99049377441406	1	0	0	1	0	0	0	0	0	0	0	0	1421.json	
2967	3,3,3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.4773508906364441,0.45715510845184326,0.4138261675834656,0.447381854057312,0.447381854057312,0.447381854057312,0.447381854057312,0.4331716299057007	0.8324909705527145,0.8398130513351978,0.8303465509378196,0.7836581577053533,0.7836581577053533,0.7836581577053533,0.7836581577053533,0.8064260623632543	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0	131.75106811523438,131.75106811523438,131.75106811523438,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	0,0,0,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,1,1,1,1,1	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,21,127,127,475,1049,1643,1643	0,1,1,1,0,0,0,1	0,2,2,2,0,0,0,2	0,5,23,7,0,0,0,19	0,14,21,1,0,0,0,102	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	711.json	
816	3	0.0	0.919742226600647	0.9029884300357088	0	0	1	3.77	0	0	12.0	133.59722900390625	1	0	1	0	0	0	0	0	0	0	0	0	2286.json	
