Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1972	8	0.0	0.4392038881778717	0.8667387274416712	1	1	2	2.65	1	1	30.0	111.55557250976562	1	0	0	2	0	0	0	0	0	0	0	0	11972.json	
1992	4	0.0	0.3589109182357788	0.9603001692219109	0	0	1	1.73	0	0	13.0	128.335205078125	1	1	1	0	0	0	0	0	0	0	0	0	3371.json	
1867	3	0.0	0.8722400069236755	0.965747925155816	0	0	1	0.0	0	0	11.0	134.26058959960938	1	0	0	1	0	0	0	0	0	0	0	0	11749.json	
3437	20	0.0	0.00520588643848896	2.904501098908813E-4	8	6	7	6.7	2	10	122.0	87.37640380859375	1	1	0	2	1	0	0	0	0	0	0	0	801.json	
1029	4,4	0.0,0.0	0.6919894814491272,0.6114344000816345	0.8758047262708775,0.9018444293731611	0,0	0,0	1,1	1.73,1.73	0,0	0,0	19.0,18.0	125.79222106933594,126.19583892822266	1,1	0,0	0,0	0,0	0,0	0,6	0,1	0,2	0,5	0,14	0,0	0,0	14173.json	
3003	4,4	0.0,0.0	0.8453430533409119,0.8453430533409119	0.9332691171274661,0.9332691171274661	0,0	0,0	1,1	1.73,1.73	0,0	0,0	15.0,15.0	127.42622375488281,127.42622375488281	1,1	0,0	1,1	1,1	0,0	0,1002	0,4	0,4	0,0	0,56	0,0	0,0	4804.json	
1090	6,6,6	0.0,0.0,0.0	0.29993054270744324,0.29993054270744324,0.42424267530441284	0.5018165168246477,0.5018165168246477,0.49716302907535803	1,1,1	1,1,1	2,2,2	2.93,2.93,2.93	0,0,0	1,1,1	32.0,32.0,32.0	115.643310546875,115.643310546875,115.643310546875	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,56,231	0,0,2	0,0,4	0,0,6	0,12,76	0,0,0	0,0,0	9048.json	
1638	4	0.0	0.34673890471458435	0.7320263280775138	0	0	1	1.73	0	2	22.0	124.81353759765625	1	0	1	0	0	0	0	0	0	0	0	0	12156.json	
1538	4,4,4,4,4	0.0,0.0,0.0,0.0,0.0	0.437593549489975,0.7861709594726562,0.7026084065437317,0.7026084065437317,0.6972361207008362	0.9384480847907007,0.9029477327895695,0.8209738520648798,0.8209738520648798,0.8200309894299616	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.73,1.73,1.73,1.73,1.73	0,0,0,0,0	1,1,1,1,1	15.0,16.0,18.0,18.0,18.0	127.59107971191406,126.94251251220703,126.19583892822266,126.19583892822266,126.19583892822266	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,1,4,57	0,1,1,0,1	0,2,2,0,2	0,12,15,0,1	0,23,22,63,15	0,0,0,0,0	0,0,0,0,0	1781.json	
3437	4	0.0	0.4091022312641144	0.8877029934664881	0	0	1	1.73	0	0	17.0	126.62725830078125	1	0	0	0	0	0	0	0	0	0	0	0	2809.json	
