Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
3439	3,3	0.0,0.3333333333333333	0.9220659136772156,0.9146237373352051	0.4936942744138006,0.3964530239900698	1,1	1,1	2,2	3.77,3.77	0,0	1,1	24.0,24.0	128.69515991210938,128.69515991210938	0,0	1,1	0,0	1,1	0,0	0,719	0,1	0,2	0,14	0,393	0,0	0,0	1182.json	
3140	7,7,11,11,15	0.0,0.0,0.0,0.0,0.0	0.031992241740226746,0.031992241740226746,0.01806497573852539,0.018629593774676323,0.003749679774045944	0.01701842477458054,0.01701842477458054,0.0035400064833199852,0.0050494223825747735,0.0019399518322447912	0,0,0,0,1	0,0,0,0,1	2,2,3,3,5	5.11,5.11,4.82,4.82,6.17	0,0,1,1,2	3,3,5,5,6	54.0,54.0,72.0,69.0,83.0	110.10877227783203,110.10877227783203,100.9541015625,101.12551879882812,94.5865707397461	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	3,3,4,4,4	0,500,1697,1935,2132	0,0,5,1,10	0,0,6,2,16	0,0,98,18,183	0,3,7,242,13	0,0,0,0,0	0,0,0,1,0	3371.json	
573	28,24,15	0.10714285714285714,0.20833333333333334,0.0	0.0012775590876117349,0.0020990322809666395,0.011141239665448666	1.5829500661637974E-6,6.353126773506101E-6,0.0014024792914938116	5,4,4	9,8,6	11,10,8	7.43,5.33,5.23	3,2,2	4,4,1	143.0,128.0,81.0	79.58123779296875,82.95976257324219,93.89559173583984	0,0,0	0,0,0	0,0,0	3,2,2	2,2,0	0,289,292	0,16,5	0,36,22	0,170,489	0,12,20	0,0,0	0,0,1	801.json	
3637	3	0.0	0.9269831776618958	0.9267478669663027	0	0	1	3.77	0	0	12.0	133.59722900390625	1	0	1	0	0	0	0	0	0	0	0	0	9048.json	
3906	7,7	0.0,0.0	0.7531607747077942,0.7335371375083923	0.5476484418090574,0.541080056685697	1,1	1,1	2,2	5.11,5.11	0,0	2,2	31.0,31.0	113.46426391601562,113.46426391601562	1,1	0,0	0,0	0,0	0,0	0,164	0,1	0,2	0,4	0,5	0,0	0,0	1781.json	
1602	9	0.0	0.7611965537071228	0.41592055047469767	2	2	3	7.54	2	2	41.0	107.7091293334961	0	1	0	1	1	0	0	0	0	0	0	0	2809.json	
3422	3	0.0	0.31774789094924927	0.5281810400236966	0	0	1	3.77	0	1	22.0	129.47398376464844	1	0	0	1	0	0	0	0	0	0	0	0	1139.json	
1602	3	0.0	0.46372973918914795	0.652517918801246	0	0	1	3.77	0	1	19.0	130.57513427734375	1	1	1	0	0	0	0	0	0	0	0	0	2838.json	
3790	17	0.0	0.17627041041851044	2.3438858763324686E-4	3	4	5	7.29	1	1	100.0	91.46219635009766	1	0	0	1	4	0	0	0	0	0	0	0	8541.json	
2533	3,5,5,10,10	0.0,0.0,0.0,0.0,0.0	0.9019673466682434,0.49371853470802307,0.5614457130432129,0.14625410735607147,0.15339882671833038	0.3614217368883933,0.03651236447892536,0.04820649428012084,0.0035400945663495646,0.0026516383401707162	1,2,2,3,3	1,2,2,4,4	2,3,3,5,5	3.77,8.76,8.76,8.16,8.16	0,0,0,1,1	0,1,2,5,5	26.0,43.0,41.0,66.0,67.0	128.1891326904297,116.69403076171875,116.94169616699219,102.49058532714844,102.36249542236328	1,1,1,1,1	0,0,0,0,0	1,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,706,1994	0,2,2,7,1	0,2,4,9,2	0,113,10,212,10	0,8,7,3,8	0,0,0,0,0	0,0,0,0,0	1421.json	
570	3	0.0	0.4060467779636383	0.7627738223551518	0	0	1	3.77	0	1	17.0	131.43582153320312	1	0	0	1	0	0	0	0	0	0	0	0	711.json	
2138	3	0.0	0.9837012887001038	0.8368615466251917	0	0	1	3.77	0	0	16.0	131.91592407226562	0	0	0	0	0	0	0	0	0	0	0	0	2286.json	
205	15	0.2	0.06781499832868576	5.633398001157237E-5	3	3	4	9.53	1	9	99.0	93.28975677490234	0	0	0	1	1	0	0	0	0	0	0	0	4561.json	
3629	3	0.0	0.936991274356842	0.7273018755509074	0	0	1	3.77	0	0	17.0	131.28770446777344	0	1	0	1	0	0	0	0	0	0	0	0	6661.json	
3496	24,28,27	0.0,0.0,0.0	0.022051112726330757,0.017187191173434258,0.010722586885094643	1.3526765089007947E-7,1.9193151194325158E-8,1.418503896528472E-8	3,4,4	5,6,6	6,7,7	7.05,8.02,6.17	2,3,3	7,10,10	154.0,174.0,171.0	83.02732849121094,79.60916900634766,80.28876495361328	0,0,0	0,0,0	0,0,0	3,3,3	1,1,1	0,0,3259	0,12,11	0,19,24	0,95,40	0,5,130	0,0,0	0,0,1	1170.json	
3906	21,21,25,25,25,25	0.0,0.0,0.0,0.0,0.0,0.0	0.02278660051524639,0.006364769302308559,0.0015938534634187818,0.0016838781302794814,0.001667983247898519,0.0016522386576980352	2.869362825636344E-7,4.730372020693298E-8,7.860465034298884E-10,1.2297737030398483E-9,1.4885629890620594E-9,1.802903003880243E-9	3,3,3,3,3,3	3,3,4,4,4,4	7,7,8,8,8,8	9.67,9.67,9.88,9.88,9.88,9.88	3,3,3,3,3,3	9,11,14,14,14,14	132.0,140.0,167.0,164.0,163.0,162.0	85.65296173095703,85.2963638305664,81.23037719726562,81.30232238769531,81.33412170410156,81.36612701416016	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	4,4,4,4,4,4	0,232,2268,2701,3150,3153	0,1,4,1,1,1	0,2,4,2,2,2	0,42,155,8,6,6	0,318,24,242,1013,334	0,0,1,0,0,0	0,0,1,1,0,0	1359.json	
1979	11,11,8	0.0,0.0,0.0	0.2573710083961487,0.2738753855228424,0.23975850641727448	0.11929054063373605,0.16211130203321628,0.14375482442566348	1,1,1	1,1,1	2,2,2	7.83,7.83,7.94	2,2,2	3,3,2	51.0,50.0,44.0	103.02936553955078,103.18681335449219,109.12744903564453	0,0,0	1,1,1	0,0,0	2,2,2	1,1,1	0,314,1154	0,10,1	0,20,5	0,18,47	0,28,1	0,0,0	0,1,0	4868.json	
3297	4,4	0.0,0.0	0.6372486352920532,0.8196046352386475	0.5803535867122822,0.6637391442826944	0,0	0,0	1,1	4.0,4.0	0,0	0,0	25.0,23.0	124.05243682861328,124.58238983154297	1,1	0,0	0,0	0,0	1,1	0,1056	0,1	0,2	0,17	0,13	0,0	0,0	6465.json	
3629	3	0.0	0.8988140821456909	0.7055963144520351	0	0	1	3.77	0	2	19.0	130.70933532714844	0	0	0	1	0	0	0	0	0	0	0	0	6633.json	
3458	3	0.0	0.8914639353752136	0.9226017905900459	0	0	1	3.77	0	0	12.0	133.59722900390625	1	0	1	0	0	0	0	0	0	0	0	0	7316.json	
308	5,5,11,15	0.0,0.0,0.0,0.0	0.19472281634807587,0.17821241915225983,0.042409226298332214,0.03880869224667549	0.1256967592485526,0.12902434824832684,0.005797089068779007,0.0019834000822605883	2,2,3,3	1,1,2,2	2,2,3,4	3.92,3.92,4.11,6.4	0,0,1,2	4,4,6,6	40.0,40.0,71.0,82.0	117.43657684326172,117.43657684326172,101.0268325805664,94.7928237915039	1,1,1,1	1,1,1,1	0,0,0,0	1,1,1,1	1,1,3,3	0,0,0,17	0,2,7,12	0,4,8,20	0,15,181,100	0,12,11,5	0,0,0,1	0,0,0,1	8378.json	
1302	3	0.3333333333333333	0.6449756622314453	0.5706355506901927	0	0	1	3.77	0	1	21.0	130.18890380859375	0	0	0	0	0	0	0	0	0	0	0	0	4857.json	
3906	4,4	0.0,0.0	0.770896315574646,0.7602413296699524	0.524574408007817,0.585567685452097	1,1	1,1	2,2	4.0,4.0	0,0	1,1	26.0,25.0	123.44467163085938,123.73262786865234	1,1	0,0	0,0	1,1	0,0	0,3150	0,1	0,2	0,6	0,1013	0,0	0,0	5358.json	
1573	3	0.0	0.9238973259925842	0.924047611624895	0	0	1	3.77	0	0	12.0	133.59722900390625	1	0	1	0	0	0	0	0	0	0	0	0	10043.json	
