Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1205	3	0.0	0.3699394762516022	0.5012642503549692	0	0	1	1.89	0	1	25.0	128.62307739257812	1	1	0	1	0	0	0	0	0	0	0	0	1781.json	
3167	3	0.0	0.3606453835964203	0.5261969873563084	0	0	1	0.94	0	2	22.0	129.57785034179688	1	1	0	1	0	0	0	0	0	0	0	0	1421.json	
4639	3,3,3	0.0,0.0,0.0	0.6835629343986511,0.5302280187606812,0.5302280187606812	0.7476093223644223,0.7492957672787622,0.7492957672787622	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	20.0,20.0,20.0	129.9696044921875,130.07347106933594,130.07347106933594	1,1,1	0,0,0	0,0,0	2,2,2	0,0,0	0,9,1324	0,2,0	0,4,0	0,23,0	0,97,0	0,0,0	0,0,0	3874.json	
1952	12,12	0.0,0.0	0.058067142963409424,0.10156761854887009	5.220992159049325E-4,0.0013199520532107681	3,3	3,3	3,3	8.08,8.08	1,1	4,4	81.0,76.0	98.66051483154297,98.99183654785156	0,0	0,0	0,0	1,1	2,2	0,266	0,2	0,4	0,16	0,32	0,0	0,0	2413.json	
3799	3,3,3,3,3	0.0,0.0,0.0,0.0,0.0	0.877632200717926,0.877632200717926,0.877632200717926,0.877632200717926,0.877632200717926	0.3174441702075882,0.3174441702075882,0.3174441702075882,0.3174441702075882,0.3174441702075882	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	0,0,0,0,0	25.0,25.0,25.0,25.0,25.0	128.712890625,128.712890625,128.712890625,128.712890625,128.712890625	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,15,15,146,484	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,0,0,1,0	1589.json	
1421	6	0.0	0.029724910855293274	0.10927949154053793	1	1	2	4.99	0	2	45.0	113.55408477783203	1	1	0	1	1	0	0	0	0	0	0	0	1058.json	
4559	15,15	0.0,0.0	0.07154998183250427,0.07154998183250427	2.9306126687967185E-4,2.9306126687967185E-4	6,6	6,6	5,5	5.96,5.96	4,4	6,6	99.0,99.0	93.35672760009766,93.35672760009766	0,0	1,1	0,0	1,1	3,3	0,1244	0,0	0,0	0,0	0,0	0,0	0,0	4217.json	
4820	3,3,3,3,3	0.0,0.0,0.0,0.0,0.0	0.006637061946094036,0.006637061946094036,0.006637061946094036,0.006637061946094036,0.006637061946094036	0.4339283873990726,0.4339283873990726,0.4339283873990726,0.4339283873990726,0.4339283873990726	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	2,2,2,2,2	27.0,27.0,27.0,27.0,27.0	128.4090576171875,128.4090576171875,128.4090576171875,128.4090576171875,128.4090576171875	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	2,2,2,2,2	0,0,0,0,0	0,1035,1035,1167,1505	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,0,0,1,0	213.json	
4820	6,6,6,6	0.0,0.0,0.0,0.0	0.8836666345596313,0.8836666345596313,0.8836666345596313,0.8836666345596313	0.9728599244862207,0.9728599244862207,0.9728599244862207,0.9728599244862207	1,1,1,1	1,1,1,1	2,2,2,2	3.27,3.27,3.27,3.27	1,1,1,1	3,3,3,3	25.0,25.0,25.0,25.0	117.45413208007812,117.45413208007812,117.45413208007812,117.45413208007812	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,1035,1167,1505	0,0,0,0	0,0,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,0,1,0	3090.json	
1421	3	0.0	0.6269503235816956	0.880876585376988	0	0	1	1.89	0	1	17.0	131.28770446777344	1	0	0	1	0	0	0	0	0	0	0	0	966.json	
2540	4,4,8	0.0,0.0,0.0	0.7026007175445557,0.7154815793037415,0.6686187386512756	0.7549477574926504,0.7882248983337551,0.8351201788385338	0,0,1	0,0,1	1,1,2	2.0,2.0,2.83	0,0,1	2,2,2	26.0,25.0,36.0	123.94486236572266,124.1488037109375,110.44464111328125	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	0,965,968	0,1,5	0,2,6	0,17,102	0,11,11	0,0,0	0,1,0	1706.json	
1421	6,6	0.0,0.0	0.4487232267856598,0.4288465082645416	0.2865329248594284,0.290176994510908	1,1	1,1	2,2	2.75,2.75	1,1	3,3	39.0,39.0	114.54450988769531,114.54450988769531	1,1	0,0	0,0	1,1	1,1	0,172	0,1	0,2	0,13	0,2	0,0	0,1	944.json	
4150	3,3	0.0,0.0	0.9796749353408813,0.9796749353408813	0.5554118607796964,0.5554118607796964	1,1	1,1	2,2	1.89,1.89	0,0	0,0	21.0,21.0	129.48590087890625,129.48590087890625	1,1	1,1	1,1	1,1	0,0	0,835	0,0	0,0	0,0	0,0	0,0	0,0	3557.json	
4410	5,5,5,5,5,5,5	0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.46871039271354675,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.37459442019462585	0.575459065641657,0.33148761350966366,0.33148761350966366,0.33148761350966366,0.33148761350966366,0.33148761350966366,0.39964884951354684	2,2,2,2,2,2,2	1,1,1,1,1,1,1	2,2,2,2,2,2,2	2.99,2.99,2.99,2.99,2.99,2.99,2.99	0,0,0,0,0,0,0	1,2,2,2,2,2,2	32.0,37.0,37.0,37.0,37.0,37.0,37.0	118.83403015136719,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2,2,2,2,2,2,2	0,0,0,0,0,0,0	0,1,625,625,757,1095,2720	0,1,0,0,0,0,5	0,2,0,0,0,0,10	0,18,0,0,0,0,26	0,15,1,0,0,0,11	0,0,0,0,0,0,0	0,0,0,0,1,0,0	2743.json	
1205	3	0.0	0.80677729845047	0.7202314475020455	0	0	1	1.89	0	1	21.0	129.7158966064453	1	1	0	1	0	0	0	0	0	0	0	0	1779.json	
1487	3	0.0	0.6626439690589905	0.8407257093749978	0	0	1	1.89	0	1	20.0	130.07347106933594	1	0	0	0	0	0	0	0	0	0	0	0	2330.json	
1952	4,38,52,53,56,57	0.0,0.0,0.0,0.0,0.0,0.0	9.830123744904995E-4,0.0,0.0,0.0,0.0,0.0	0.054814027556069324,7.32786712414205E-20,4.912360258094518E-25,6.722714008199363E-26,5.611496776249047E-29,4.259838806746493E-29	0,9,10,10,12,12	0,9,12,12,14,14	1,6,9,9,10,10	6.63,6.21,7.43,7.36,4.37,4.34	0,2,3,3,3,3	1,24,29,30,33,34	39.0,300.0,382.0,391.0,424.0,429.0	121.27667999267578,71.39900207519531,64.28974151611328,63.834388732910156,62.22978973388672,61.906131744384766	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	3,3,3,3,3,3	0,9,10,11,12,13	0,361,361,403,1457,1457	0,40,22,3,5,3	0,41,30,5,5,5	0,1588,1018,105,750,97	0,1,9,2,13,3	0,0,0,0,0,0	0,0,0,0,0,0	2373.json	
4787	35,35,35,35,35	0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0	3.849122586475604E-14,3.849122586475604E-14,3.849122586475604E-14,3.849122586475604E-14,3.849122586475604E-14	10,10,10,10,10	6,6,6,6,6	7,7,7,7,7	1.01,1.01,1.01,1.01,1.01	2,2,2,2,2	10,10,10,10,10	251.0,251.0,251.0,251.0,251.0	73.9135513305664,73.9135513305664,73.9135513305664,73.9135513305664,73.9135513305664	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	4,4,4,4,4	0,988,1002,1134,1472	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,1,0,0	0,0,0,0,0	0,1,0,1,0	3462.json	
2113	4	0.0	0.10924206674098969	0.4057401855905918	0	0	1	2.0	0	2	30.0	122.93054962158203	1	0	0	1	1	0	0	0	0	0	0	0	3165.json	
495	3	0.0	0.02700803615152836	0.20205416284013542	0	0	1	1.89	0	1	28.0	127.94976043701172	0	1	0	2	0	0	0	0	0	0	0	0	3786.json	
4787	11,11,13,13,10,10,7	0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.613969624042511,0.38957852125167847,0.29185205698013306,0.29185205698013306,0.42139530181884766,0.4272894263267517,0.43164023756980896	0.2738319714741237,0.10484281413421298,0.04750886075091319,0.04750886075091319,0.35440355743083374,0.34809674290344855,0.6415778064124973	2,2,3,3,2,2,1	2,2,3,3,2,2,1	3,3,4,4,3,3,2	3.45,3.45,3.29,3.29,3.6,3.6,2.56	2,2,2,2,2,2,1	3,3,3,3,4,4,3	52.0,58.0,67.0,67.0,49.0,49.0,35.0	102.80992889404297,102.18502807617188,98.39208984375,98.39208984375,104.78582000732422,104.78582000732422,112.83319091796875	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	1,1,1,1,1,1,0	0,29,602,1472,1879,1922,2173	0,3,3,0,1,1,1	0,6,4,0,5,2,5	0,15,66,0,114,14,124	0,18,6,0,24,1,5	0,1,0,0,0,0,0	0,1,0,0,0,0,0	4056.json	
