Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
5167	3,3,3,8,3,5,3,8,4	0.0,0.0,0.0,0.125,0.3333333333333333,0.0,0.3333333333333333,0.125,0.0	0.8719053268432617,0.8719053268432617,0.8719053268432617,0.6238076090812683,0.9430140852928162,0.3768611550331116,0.9374545812606812,0.6238076090812683,0.5067274570465088	0.8694262297558394,0.8694262297558394,0.8694262297558394,0.2972269616889983,0.6025529744110657,0.6205250258753869,0.6498816626279517,0.2972269616889983,0.7138844582068966	0,0,0,3,0,1,0,3,0	0,0,0,2,0,1,0,2,0	1,1,1,4,1,2,1,4,1	3.77,3.77,3.77,7.33,4.0,5.99,4.0,7.33,9.8	0,0,0,0,0,0,0,0,0	0,0,0,4,2,2,2,4,2	14.0,14.0,14.0,47.0,23.0,28.0,22.0,47.0,23.0	132.4454345703125,132.4454345703125,132.4454345703125,108.52391815185547,129.34671020507812,119.71456909179688,129.69032287597656,108.52391815185547,124.92120361328125	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,1,0,0,0,1,0	0,279,660,1002,1402,1405,1419,1509,1884	0,0,0,10,2,1,1,8,2	0,0,0,13,10,7,2,10,10	0,0,0,248,196,55,58,197,203	0,0,16,9,10,5,6,12,10	0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,1	801.json	
5167	3,3,3,3,3	0.0,0.0,0.0,0.0,0.0	0.7584370970726013,0.7584370970726013,0.7584370970726013,0.7712693810462952,0.7568452954292297	0.9182310584041892,0.9182310584041892,0.9182310584041892,0.9544891014646318,0.9534921305129046	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,1.89,1.89	0,0,0,0,0	0,0,0,0,0	12.0,12.0,12.0,12.0,12.0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	1,1,1,1,1	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,279,660,3043,3139	0,0,0,1,1	0,0,0,2,2	0,0,0,18,2	0,0,16,149,24	0,0,0,0,0	0,0,0,0,0	711.json	
2035	3	0.0	0.8875468969345093	0.9801497170056057	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	213.json	
5647	3,3,3	0.0,0.0,0.0	0.6435434818267822,0.6435434818267822,0.6435434818267822	0.5759034309095464,0.5759034309095464,0.5759034309095464	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	2,2,2	21.0,21.0,21.0	129.81976318359375,129.81976318359375,129.81976318359375	1,1,1	1,1,1	0,0,0	1,1,1	0,0,0	0,758,1139	0,0,0	0,0,0	0,0,0	0,0,16	0,0,0	0,0,0	944.json	
2620	3,3	0.0,0.0	0.3848784565925598,0.38446512818336487	0.5727601463587318,0.5366547862033374	0,0	0,0	1,1	1.89,1.89	0,0	1,1	23.0,23.0	129.14646911621094,129.14646911621094	0,0	0,0	0,0	1,1	0,0	0,496	0,1	0,2	0,12	0,149	0,0	0,0	391.json	
2268	4	0.0	0.22230665385723114	0.7637634920073748	0	0	1	3.32	0	1	23.0	124.48601531982422	0	0	0	2	0	0	0	0	0	0	0	0	847.json	
2123	3,3	0.0,0.0	0.5759856700897217,0.5271756052970886	0.9447309718359141,0.9375391556427131	0,0	0,0	1,1	1.89,1.89	0,0	0,0	15.0,15.0	132.43687438964844,132.43687438964844	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,4	0,12	0,1	0,0	0,0	101.json	
2875	5,6	0.0,0.0	0.8356508612632751,0.8035934567451477	0.543565067189711,0.7615539091281133	1,1	1,1	2,2	5.99,2.75	0,1	1,1	31.0,32.0	119.185302734375,116.06659698486328	0,0	1,1	0,0	2,2	0,0	0,130	0,7	0,13	0,48	0,125	0,0	0,1	462.json	
4666	3,10,10,10,10,11	0.0,0.0,0.1,0.0,0.0,0.0	0.383090078830719,0.4628491699695587,0.44946426153182983,0.5178945064544678,0.3600594997406006,0.34107083082199097	0.2687753287438432,0.004520423592406928,0.024722233671904178,0.022306263138557488,0.01411823538139375,0.01677010217054296	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.77,8.16,8.42,8.16,4.08,3.92	0,1,1,1,1,1	4,5,3,3,4,4	28.0,67.0,59.0,59.0,65.0,66.0	127.87090301513672,103.06085968017578,103.80567169189453,103.80567169189453,103.21844482421875,101.555419921875	1,1,1,1,1,1	1,1,1,1,1,1	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,7,158,158,3366,3443	0,10,4,1,3,1	0,12,7,3,6,1	0,248,114,56,155,22	0,7,16,9,5,5	0,0,0,0,0,0	0,0,0,0,1,1	454.json	
6575	3,3,3,3	0.0,0.0,0.0,0.0	0.8745365738868713,0.8612971305847168,0.8612971305847168,0.8612971305847168	0.9333357391945092,0.9213346591468916,0.9213346591468916,0.9213346591468916	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	12.0,12.0,12.0,12.0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,1,1,1	0,0,0,0	0,1,1,1	0,0,0,0	0,0,0,0	0,2,1686,2067	0,1,0,0	0,2,0,0	0,7,0,0	0,8,0,16	0,0,0,0	0,0,0,0	940.json	
