Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2678	3,3	0.0,0.0	0.38919201493263245,0.09932113438844681	0.37334916408831353,0.3554695090315677	0,0	0,0	1,1	3.77,3.77	0,0	0,0	26.0,27.0	128.41912841796875,128.22288513183594	0,0	0,0	0,0	2,2	0,0	0,1375	0,2	0,4	0,40	0,49	0,0	0,0	801.json	
4041	5,5,5,12	0.0,0.0,0.0,0.16666666666666666	1.569364103488624E-4,0.0,0.0,0.0025394782423973083	5.546043264961023E-4,3.433955857416283E-4,3.433955857416283E-4,3.05535385799371E-7	0,0,0,1	0,0,0,1	2,2,2,4	3.92,3.92,3.92,5.86	0,0,0,1	5,5,5,8	66.0,68.0,68.0,119.0	114.26586151123047,114.06641387939453,114.06641387939453,96.00104522705078	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	2,2,2,4	0,121,160,1456	0,4,0,12	0,8,0,15	0,33,0,521	0,249,0,1	0,0,0,0	0,1,0,1	1781.json	
3538	4,4,5,5,5	0.0,0.0,0.0,0.0,0.0	0.01496422290802002,0.01712530478835106,9.946839418262243E-4,3.3284135861322284E-4,1.1030911991838366E-4	0.2372828303897985,0.2178376277216403,0.06545931505565195,0.04936971583432296,0.03728105830518338	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	4.0,4.0,3.92,3.92,3.92	0,0,0,0,0	2,2,3,3,3	33.0,34.0,46.0,48.0,50.0	122.5189437866211,122.36370849609375,117.09291076660156,116.8716049194336,116.65933227539062	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	2,2,2,2,2	0,0,0,0,0	0,957,1550,1550,1552	0,2,3,1,1	0,4,5,2,2	0,16,82,6,6	0,25,18,7,9	0,0,0,0,0	0,0,0,0,0	2809.json	
146	19	0.0	0.0	5.6553380275940325E-11	4	5	5	4.69	2	13	168.0	86.06014251708984	1	0	0	3	4	0	0	0	0	0	0	0	1139.json	
163	31	0.0	0.0	7.752356949180836E-20	8	8	8	6.65	2	8	297.0	74.60485076904297	0	1	0	4	9	0	0	0	0	0	0	0	2838.json	
2006	5,3	0.0,0.0	0.5562070608139038,0.5395609736442566	0.2456421120081934,0.6320423725986763	2,0	1,0	2,1	3.92,3.77	0,0	2,2	35.0,21.0	118.36804962158203,129.93223571777344	0,0	0,0	0,0	1,1	1,0	0,9	0,1	0,4	0,122	0,32	0,0	0,0	1421.json	
3876	3	0.0	0.9109325408935547	0.8028567480344871	0	0	1	3.77	0	0	14.0	132.4454345703125	1	0	0	0	0	0	0	0	0	0	0	0	711.json	
767	7	0.0	0.14318518340587616	5.570705522904289E-5	2	2	3	3.61	0	6	80.0	107.3061752319336	1	1	0	1	2	0	0	0	0	0	0	0	1359.json	
3280	6,6,6,6	0.0,0.0,0.0,0.0	0.0013523625675588846,0.0012943483889102936,8.490869658999145E-4,3.7325097946450114E-4	0.0033776077291615076,0.003953207173265917,0.00934748265303974,0.0013665475313138387	1,1,1,1	1,1,1,1	2,2,2,2	3.77,3.77,3.77,3.77	0,0,0,0	7,6,7,7	59.0,58.0,55.0,63.0	112.091064453125,112.1799545288086,112.6905288696289,111.69786834716797	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,14	0,1,1,1	0,2,2,2	0,2,12,55	0,4,3,1	0,0,0,0	0,1,1,1	2080.json	
3478	3,3	0.0,0.0	0.8063393235206604,0.7608826160430908	0.8092571878274613,0.8006615036337522	0,0	0,0	1,1	3.77,3.77	0,0	1,1	17.0,16.0	131.28770446777344,131.75106811523438	1,1	0,0	0,0	0,0	0,0	0,10	0,3	0,6	0,23	0,40	0,0	0,0	1589.json	
4041	4,5,5,5	0.0,0.0,0.0,0.0	0.12545594573020935,0.05452413111925125,0.05586012825369835,0.05586012825369835	0.33264744063544854,0.21896074483138006,0.21093286619640841,0.21093286619640841	0,0,0,0	0,0,0,0	1,1,1,1	4.0,3.92,3.92,3.92	0,0,0,0	2,3,3,3	28.0,35.0,35.0,35.0	123.21045684814453,118.43518829345703,118.43518829345703,118.43518829345703	1,1,1,1	0,0,0,0	0,0,0,0	2,2,2,2	0,0,0,0	0,0,121,160	0,1,1,0	0,1,2,0	0,27,5,0	0,2,249,0	0,0,0,0	0,0,1,0	1058.json	
1697	11	0.0	0.023024801164865494	2.0952134953028623E-4	4	4	4	3.09	0	8	83.0	99.67365264892578	1	0	0	1	0	0	0	0	0	0	0	0	213.json	
2950	10,10,10	0.0,0.0,0.0	0.10638057440519333,0.1063111200928688,0.10638057440519333	0.004564200731252207,0.006021077012424604,0.004564200731252207	1,1,1	1,1,1	3,3,3	6.25,6.25,6.25	1,1,1	3,3,3	68.0,67.0,68.0	102.60742950439453,102.72867584228516,102.60742950439453	0,0,0	1,1,1	0,0,0	1,1,1	2,2,2	0,6,6	0,1,1	0,2,2	0,8,8	0,6,17	0,0,1	0,0,1	3090.json	
765	6,5,3	0.0,0.0,0.0	0.14226360619068146,0.08248162269592285,0.01480562798678875	0.03234708983878668,0.054056843477290506,0.12695598352948656	0,0,0	0,0,0	1,1,1	3.77,3.92,3.77	0,0,0	3,3,2	47.0,42.0,33.0	113.40150451660156,117.04198455810547,126.87217712402344	0,0,0	0,0,0	0,0,0	2,2,2	2,1,0	0,1,145	0,3,1	0,7,4	0,83,72	0,3,52	0,0,0	0,0,0	1706.json	
2003	82,82	0.07317073170731707,0.07317073170731707	0.0,0.0	3.5401308319092706E-86,8.335205770245667E-86	4,4	7,7	8,8	6.03,6.03	1,1	33,37	1001.0,996.0	51.616825103759766,51.63550567626953	0,0	0,0	0,0	7,8	31,31	0,789	0,9	0,18	0,188	0,5	0,0	0,0	2893.json	
2598	4	0.0	0.0	0.034211923552881725	0	0	1	4.0	0	2	46.0	120.55474090576172	1	0	0	6	0	0	0	0	0	0	0	0	944.json	
2581	12,12	0.0,0.0	0.0027866908349096775,2.693039714358747E-4	7.314141013778998E-5,1.0957266112313738E-5	2,2	2,2	3,3	7.63,7.63	2,2	0,2	94.0,102.0	97.73583221435547,97.14767456054688	1,1	1,1	0,0	3,5	4,4	0,2394	0,3	0,6	0,108	0,47	0,0	0,1	2743.json	
