Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
151	7	0.0	0.18815524876117706	0.3788116874836823	2	1	2	1.51	1	3	38.0	112.40554809570312	1	0	0	1	0	0	0	0	0	0	0	0	1182.json	
532	2,2	0.0,0.0	0.4634702503681183,0.503929078578949	0.8371359554439664,0.8242421560695935	0,0	0,0	1,1	0.0,0.0	0,0	0,0	13.0,14.0	139.56419372558594,139.0139617919922	0,1	0,0	0,0	2,2	0,0	0,0	0,1	0,2	0,11	0,20	0,0	0,1	801.json	
1027	3,3,3	0.0,0.0,0.0	0.09248309582471848,0.19041912257671356,0.8433163166046143	0.5117696199123033,0.7344626743844404,0.9602759471001632	0,0,0	0,0,0	1,1,1	0.94,0.94,0.94	0,0,0	2,1,0	28.0,23.0,12.0	128.3238067626953,129.58164978027344,133.59722900390625	0,0,1	0,0,0	0,0,0	0,0,0	0,0,0	0,59,80	0,1,2	0,2,4	0,12,38	0,5,186	0,0,0	0,0,0	1781.json	
711	3	0.0	0.7569599747657776	0.695685068933844	0	0	1	0.94	0	1	19.0	130.45266723632812	1	0	0	1	0	0	0	0	0	0	0	0	1139.json	
554	9	0.0	0.44911718368530273	0.025475960107126303	3	3	3	1.89	2	2	58.0	105.23158264160156	1	1	0	1	3	0	0	0	0	0	0	0	1421.json	
782	3,3,3	0.0,0.0,0.0	0.679146409034729,0.679146409034729,0.7776774764060974	0.5978898200869152,0.5978898200869152,0.6872776701468997	0,0,0	0,0,0	1,1,1	0.94,0.94,0.94	0,0,0	1,1,1	22.0,22.0,20.0	129.57785034179688,129.57785034179688,130.30841064453125	1,1,1	0,0,0	0,0,0	1,1,1	0,0,0	0,29,392	0,0,1	0,0,2	0,0,9	0,22,8	0,0,0	0,0,0	1170.json	
1223	5,5,5,5	0.0,0.0,0.0,0.0	0.8869953155517578,0.8869953155517578,0.8539432883262634,0.8539432883262634	0.8834288028958996,0.8834288028958996,0.9118174649166325,0.9118174649166325	0,0,0,0	0,0,0,0	1,1,1,1	1.5,1.5,1.5,1.5	1,1,1,1	0,0,1,1	23.0,23.0,22.0,22.0	120.87109375,120.87109375,121.30247497558594,121.30247497558594	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,276,372,470	0,0,1,0	0,0,2,0	0,0,16,0	0,186,9,22	0,0,0,0	0,0,1,0	1359.json	
1583	3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0	0.8480001091957092,0.8480001091957092,0.8480001091957092,0.8480001091957092,0.7076577544212341,0.7076577544212341	0.7984504001891383,0.7984504001891383,0.7984504001891383,0.7984504001891383,0.6508785288389382,0.6508785288389382	1,1,1,1,1,1	1,1,1,1,1,1	2,2,2,2,2,2	0.94,0.94,0.94,0.94,0.94,0.94	0,0,0,0,0,0	1,1,1,1,2,2	20.0,20.0,20.0,20.0,23.0,23.0	129.8434600830078,129.8434600830078,129.8434600830078,129.8434600830078,129.01284790039062,129.01284790039062	1,1,1,1,1,1	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,31,59,299,635,636	0,0,0,0,1,0	0,0,0,0,2,0	0,0,0,0,11,0	0,0,5,1,13,186	0,0,0,0,0,0	0,0,0,0,0,0	2100.json	
2122	6,6,6,6,6,6,6,6,6,6	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.015259557403624058,0.015259557403624058,0.015259557403624058,0.014192849397659302,0.014192849397659302,0.014192849397659302,0.014192849397659302,0.014192849397659302,0.11918956786394119,0.11918956786394119	0.058462601243618274,0.058462601243618274,0.058462601243618274,0.03620443702481476,0.03620443702481476,0.03620443702481476,0.03620443702481476,0.03620443702481476,0.10967239544256369,0.10967239544256369	2,2,2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2,2,2	3,3,3,3,3,3,3,3,3,3	3.27,3.27,3.27,1.63,1.63,1.63,1.63,1.63,1.63,1.63	1,1,1,1,1,1,1,1,1,1	4,4,4,4,4,4,4,4,3,3	52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,46.0,46.0	112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,113.32675170898438,113.32675170898438	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1	0,80,97,180,311,519,994,1175,1382,1382	0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,2,0	0,0,0,24,0,0,0,0,16,0	0,1,11,2,1,0,54,186,33,91	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1589.json	
361	3	0.0	0.6961517930030823	0.9123058278062569	0	0	1	0.94	0	0	13.0	132.9956512451172	1	0	0	0	0	0	0	0	0	0	0	0	1058.json	
316	3	0.0	0.8706942796707153	0.8250619486413573	0	0	1	0.94	0	1	17.0	131.28770446777344	1	0	0	1	0	0	0	0	0	0	0	0	213.json	
951	3,3,3	0.0,0.0,0.0	0.8929940462112427,0.8929940462112427,0.9165305495262146	0.9305682928444654,0.9305682928444654,0.9559518791498649	0,0,0	0,0,0	1,1,1	0.94,0.94,0.94	0,0,0	0,0,0	12.0,12.0,12.0	133.59722900390625,133.59722900390625,133.59722900390625	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,4,5	0,0,2	0,0,4	0,0,17	0,13,186	0,0,0	0,0,0	966.json	
