Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
5191	3,3	0.0,0.0	0.6612982153892517,0.6612982153892517	0.9247527558437233,0.9247527558437233	0,0	0,0	1,1	3.77,3.77	0,0	0,0	12.0,12.0	133.59722900390625,133.59722900390625	1,1	0,0	1,1	0,0	0,0	0,1567	0,0	0,0	0,0	0,1	0,0	0,0	1182.json	
4819	62,62,62,65,66,71,71,71	0.20967741935483872,0.20967741935483872,0.20967741935483872,0.2,0.19696969696969696,0.18309859154929578,0.04225352112676056,0.04225352112676056	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	9.37049653656027E-49,9.355459092237724E-49,9.297209668900709E-49,3.915456013857534E-49,5.863673578230702E-49,1.3686832131635414E-48,1.6229616252781272E-50,1.603741873802923E-49	7,7,7,7,7,7,7,7	11,11,11,11,11,11,11,11	15,15,15,15,15,15,15,15	7.77,7.77,7.77,8.52,8.5,8.28,8.59,8.59	3,3,3,3,3,4,4,4	48,48,48,49,49,49,49,49	619.0,619.0,619.0,626.0,626.0,631.0,631.0,620.0	57.17967987060547,57.17967987060547,57.17967987060547,56.338478088378906,56.09114456176758,54.86676788330078,54.86676788330078,54.94972610473633	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	26,26,26,26,26,26,26,26	0,392,572,673,1195,2462,3724,3864	0,1,3,1,0,10,0,3	0,2,6,2,0,15,11,6	0,3,13,87,8,40,664,51	0,14,12,17,1,850,33,335	0,0,0,0,0,0,0,0	0,1,1,0,0,0,0,0	3371.json	
4300	3,3	0.0,0.0	0.6169577240943909,0.6169577240943909	0.7915284603496405,0.7915284603496405	0,0	0,0	1,1	3.77,3.77	0,0	0,0	17.0,17.0	131.28770446777344,131.28770446777344	1,1	0,0	1,1	1,1	0,0	0,676	0,0	0,0	0,0	0,1	0,0	0,0	801.json	
1898	3	0.0	0.003101537236943841	0.27989083602658926	0	0	1	3.77	0	2	29.0	127.94110107421875	1	0	0	3	0	0	0	0	0	0	0	0	4804.json	
1677	3	0.0	0.6405836939811707	0.8090114135365224	0	0	1	3.77	0	0	17.0	131.28770446777344	1	0	1	1	0	0	0	0	0	0	0	0	1781.json	
323	3	0.0	0.4552447199821472	0.7092914057464538	0	0	1	3.77	0	1	20.0	130.30841064453125	1	0	0	1	0	0	0	0	0	0	0	0	6035.json	
3944	3,3	0.0,0.0	0.6642199754714966,0.6642199754714966	0.8073998418498008,0.8073998418498008	0,0	0,0	1,1	3.77,3.77	0,0	0,0	17.0,17.0	131.28770446777344,131.28770446777344	1,1	0,0	1,1	1,1	0,0	0,320	0,0	0,0	0,0	0,1	0,0	0,0	2838.json	
2255	3	0.0	0.7443541288375854	0.7962339207589443	0	0	1	3.77	0	0	17.0	131.28770446777344	1	0	1	1	0	0	0	0	0	0	0	0	1421.json	
1578	3	0.0	0.6043640375137329	0.8468364618475595	0	0	1	3.77	0	0	17.0	131.28770446777344	1	0	1	1	0	0	0	0	0	0	0	0	711.json	
3236	3	0.0	0.7016817927360535	0.859476914306832	0	0	1	3.77	0	0	13.0	132.9956512451172	1	0	1	0	0	0	0	0	0	0	0	0	7648.json	
