Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
374	3	0.0	0.7708965539932251	0.8960071749798233	0	0	1	1.89	0	0	15.0	131.9385528564453	1	0	1	0	0	0	0	0	0	0	0	0	1182.json	
646	3,3,3,3	0.0,0.0,0.0,0.0	0.22079285979270935,0.22079285979270935,0.22079285979270935,0.22079285979270935	0.8876610163633435,0.8876610163633435,0.8876610163633435,0.8876610163633435	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	14.0,14.0,14.0,14.0	132.4454345703125,132.4454345703125,132.4454345703125,132.4454345703125	1,1,1,1	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,8,58,77	0,0,0,0	0,0,0,0	0,0,0,0	0,204,32,227	0,0,0,0	0,0,0,0	3371.json	
678	5,5,5	0.0,0.0,0.0	0.002890725852921605,0.002699722535908222,0.10062751173973083	0.0788111488161663,0.08884531051307905,0.16386453914822796	0,0,0	0,0,0	1,1,1	1.96,1.96,1.96	0,0,0	2,2,4	43.0,43.0,39.0	117.09105682373047,117.09105682373047,117.79822540283203	1,1,1	0,0,0	0,0,0	2,2,2	1,1,1	0,92,446	0,2,5	0,4,10	0,21,174	0,70,73	0,0,0	0,0,1	1781.json	
1016	3,3,3,3	0.0,0.0,0.0,0.0	0.9289069771766663,0.8859682679176331,0.9601302742958069,0.9379227757453918	0.9628483359553315,0.9131456434034945,0.9577958828194832,0.9632241081777969	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	12.0,17.0,14.0,14.0	133.59722900390625,131.28770446777344,132.61029052734375,132.61029052734375	1,1,1,1	0,0,0,0	1,1,1,0	0,0,0,0	0,0,0,0	0,468,603,611	0,2,2,1	0,4,4,2	0,9,5,4	0,11,91,227	0,0,0,0	0,0,0,0	2809.json	
565	3,3,3	0.0,0.0,0.0	0.8982837796211243,0.8295742869377136,0.8896377086639404	0.9519343963614276,0.948799073512794,0.9514298451620516	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	13.0,13.0,13.0	133.18099975585938,133.18099975585938,133.18099975585938	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,54,161	0,1,1	0,2,2	0,5,4	0,122,227	0,0,0	0,0,0	2838.json	
939	3,3	0.0,0.0	0.4649346172809601,0.7145911455154419	0.8521026542554473,0.9034316027764997	0,0	0,0	1,1	1.89,1.89	0,0	2,2	18.0,16.0	130.99049377441406,131.91592407226562	1,1	0,0	1,1	0,0	0,0	0,257	0,1	0,2	0,6	0,203	0,0	0,0	1421.json	
673	3	0.0	0.7715683579444885	0.9461266705372113	0	0	1	1.89	0	0	12.0	133.59722900390625	1	0	0	0	0	0	0	0	0	0	0	0	711.json	
655	3,3,3	0.3333333333333333,0.3333333333333333,0.3333333333333333	0.9674149751663208,0.9739717245101929,0.9789572358131409	0.9848498957238667,0.9875053533289047,0.9883397334192688	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	12.0,12.0,12.0	133.59722900390625,133.59722900390625,133.59722900390625	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,9,17	0,2,2	0,4,4	0,6,4	0,392,204	0,0,0	0,0,0	2286.json	
1360	3,3	0.0,0.0	0.9528504014015198,0.957379937171936	0.8278639027760595,0.9144850413730948	0,0	0,0	1,1	3.77,1.89	0,0	0,0	15.0,15.0	131.9385528564453,131.9385528564453	1,1	0,0	0,0	1,1	0,0	0,297	0,3	0,6	0,18	0,126	0,0	0,0	4868.json	
1360	3,3,3,3,3	0.0,0.0,0.0,0.0,0.0	0.9235057830810547,0.9235057830810547,0.9235057830810547,0.8953813314437866,0.965299665927887	0.9082679409010616,0.9082679409010616,0.9082679409010616,0.9627542128495842,0.9606023129553998	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,1.89,1.89	0,0,0,0,0	0,0,0,0,0	12.0,12.0,12.0,12.0,15.0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,131.9385528564453	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,1	0,0,0,0,0	0,40,56,297,714	0,0,0,3,3	0,0,0,6,6	0,0,0,21,30	0,24,4,126,392	0,0,0,0,0	0,0,0,0,0	4857.json	
