Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2488	9	0.0	0.040706124156713486	0.021715506805538798	2	1	2	1.47	1	3	58.0	105.46157836914062	1	1	0	1	1	0	0	0	0	0	0	0	1182.json	
2488	4	0.0	0.004602921660989523	0.04617733876051268	0	0	1	1.66	0	3	41.0	120.8366928100586	1	1	0	1	0	0	0	0	0	0	0	0	3371.json	
1890	3	0.0	0.04244431480765343	0.6465478032761675	0	0	1	1.89	0	1	23.0	129.2428436279297	1	0	0	1	0	0	0	0	0	0	0	0	801.json	
2488	4,5	0.0,0.0	0.4075051248073578,0.47226783633232117	0.659763138508313,0.6793825751465854	0,0	0,0	1,1	1.0,0.98	0,0	1,2	25.0,28.0	124.05243682861328,119.84819793701172	1,1	0,0	0,0	0,0	0,0	0,193	0,2	0,3	0,61	0,470	0,0	0,0	4804.json	
1085	13,13,13,17,17	0.0,0.0,0.0,0.058823529411764705,0.058823529411764705	0.22080597281455994,0.22080597281455994,0.22080597281455994,0.11059913039207458,0.11985815316438675	0.029214133580744994,0.029214133580744994,0.029214133580744994,0.008417743794284864,0.013470665086962066	1,1,1,2,2	1,1,1,2,2	3,3,3,4,4	3.72,3.72,3.72,3.33,3.33	2,2,2,2,2	2,2,2,3,3	71.0,71.0,71.0,88.0,86.0	98.320556640625,98.320556640625,98.320556640625,92.53071594238281,92.69811248779297	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	1,1,1,1,1	3,3,3,3,3	0,1,5,7,22	0,0,0,8,2	0,0,0,11,4	0,0,0,180,39	0,17,7,7,14	0,0,0,0,0	0,0,0,1,1	9048.json	
2488	7	0.0	3.3258312032558024E-4	0.010543854868832003	0	0	1	3.46	0	3	58.0	109.8606185913086	1	1	0	2	0	0	0	0	0	0	0	0	2809.json	
3048	7,8,6,8	0.0,0.0,0.0,0.0	0.016073152422904968,0.09741123765707016,0.07355387508869171,0.09741123765707016	0.03366539166420125,0.12248103486543159,0.09194442363132624,0.12248103486543159	1,1,1,1	1,1,1,1	2,2,2,2	3.02,1.94,3.27,1.94	1,1,0,1	3,4,4,4	54.0,46.0,45.0,46.0	110.00220489501953,108.72486877441406,113.4996109008789,108.72486877441406	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,145,145,192	0,1,6,8	0,2,14,14	0,91,56,56	0,265,196,203	0,0,0,0	0,1,1,0	6035.json	
2488	9	0.0	0.040706124156713486	0.021715506805538798	2	1	2	1.47	1	3	58.0	105.46157836914062	1	1	0	1	1	0	0	0	0	0	0	0	1139.json	
1854	12,18,18,20,13,14	0.0,0.0,0.0,0.0,0.0,0.0	0.023841101676225662,0.028066575527191162,0.02661421336233616,0.02205290086567402,0.2341148406267166,0.126343235373497	3.745098477274349E-5,5.196492867765556E-6,5.114399016439096E-6,9.258273228786484E-6,0.05734755680413646,0.053101767353831535	1,2,2,2,1,1	1,2,2,2,1,1	3,5,5,5,3,3	3.82,4.6,4.6,8.79,10.54,10.16	2,3,3,3,1,1	9,10,10,10,4,4	101.0,121.0,121.0,123.0,65.0,69.0	97.32765197753906,89.17182159423828,89.17182159423828,87.35137176513672,98.4302749633789,96.99705505371094	1,1,1,1,1,1	1,1,1,1,1,1	0,0,0,0,0,0	2,2,2,2,2,2	2,2,2,2,1,1	0,39,348,887,897,1387	0,16,1,4,2,3	0,24,2,6,11,5	0,261,6,95,384,83	0,20,9,12,10,14	0,1,0,0,1,0	0,1,0,0,1,1	8754.json	
2488	5	0.0	0.020128972828388214	0.16608719735225133	0	0	1	0.98	0	1	41.0	117.40169525146484	1	0	0	1	0	0	0	0	0	0	0	0	2838.json	
840	36	0.16666666666666666	6.934615666978061E-4	3.2186377975735567E-15	5	4	5	1.61	1	24	269.0	73.14569854736328	1	1	0	1	7	0	0	0	0	0	0	0	11122.json	
1428	10,10,10	0.0,0.0,0.0	0.038162294775247574,0.037326280027627945,0.15335509181022644	0.12532949371230978,0.12358567013429904,0.4821990116393241	4,4,4	4,4,4	2,2,2	2.88,2.88,2.88	1,1,1	4,4,4	51.0,51.0,40.0	104.87416076660156,104.87416076660156,106.13748168945312	0,0,1	0,0,1	0,0,0	1,1,1	0,0,0	0,152,180	0,1,5	0,2,10	0,5,110	0,22,9	0,0,0	0,0,0	8541.json	
1618	4	0.0	0.11735525727272034	0.833379314527221	0	0	1	2.0	0	0	20.0	125.64796447753906	1	0	0	1	0	0	0	0	0	0	0	0	711.json	
1462	3	0.0	0.8437840938568115	0.9293532299852915	0	0	1	1.89	0	0	13.0	132.9956512451172	0	0	0	0	0	0	0	0	0	0	0	0	7648.json	
2488	7	0.0	0.002466498641297221	0.024978285968056152	0	0	1	3.46	0	3	52.0	110.3785629272461	1	1	0	2	0	0	0	0	0	0	0	0	4561.json	
3048	5,8,7,8	0.0,0.0,0.0,0.0	0.12013985961675644,0.21845965087413788,0.20071952044963837,0.21845965087413788	0.4574747907914903,0.13746375094935817,0.1872776801122879,0.13746375094935817	0,1,1,1	0,1,1,1	1,2,2,2	1.96,1.2,2.56,1.2	0,1,0,1	0,0,0,0	36.0,48.0,47.0,48.0	118.14434051513672,108.5035629272461,110.7762451171875,108.5035629272461	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,32,145,192	0,8,7,8	0,13,15,15	0,96,49,49	0,112,196,203	0,0,0,0	0,1,1,0	6661.json	
2488	3	0.0	0.6740461587905884	0.9403906869894801	0	0	1	0.94	0	1	15.0	132.25152587890625	1	0	0	0	0	0	0	0	0	0	0	0	1170.json	
1345	5	0.0	0.45533984899520874	0.6962842999975973	0	0	1	0.98	0	2	28.0	119.84819793701172	1	0	0	0	0	0	0	0	0	0	0	0	1359.json	
2488	9	0.0	0.040706124156713486	0.021715506805538798	2	1	2	1.47	1	3	58.0	105.46157836914062	1	1	0	1	1	0	0	0	0	0	0	0	4868.json	
3048	3	0.0	0.131699800491333	0.7507163413581786	0	0	1	1.89	0	0	21.0	129.81976318359375	1	1	1	0	0	0	0	0	0	0	0	0	6465.json	
3048	5,7	0.0,0.0	0.0,0.0014713924610987306	0.012121655077061694,0.01788435051856324	0,0	0,0	1,1	29.75,3.46	0,0	3,3	56.0,54.0	115.39620208740234,110.13446044921875	1,1	1,1	0,0	2,2	0,0	0,145	0,2	0,4	0,142	0,265	0,0	0,1	6633.json	
1402	3	0.0	0.749577522277832	0.8592288335520498	0	0	1	1.89	0	0	17.0	131.1535186767578	1	0	1	1	0	0	0	0	0	0	0	0	7316.json	
2522	3	0.0	0.5068370699882507	0.9246378433127562	0	0	1	0.94	0	1	15.0	132.25152587890625	1	0	0	0	0	0	0	0	0	0	0	0	8378.json	
1226	12,12	0.0,0.0	2.1278177155181766E-4,4.0581979556009173E-4	0.035097864820124294,0.030989310531242514	0,0	0,0	1,1	1.49,1.49	0,0	11,11	76.0,75.0	100.38345336914062,100.36831665039062	1,1	1,1	0,0	1,1	0,0	0,489	0,1	0,2	0,24	0,11	0,0	0,0	11241.json	
1028	3	0.0	0.47190746665000916	0.9138394703314678	0	0	1	0.94	0	1	15.0	132.25152587890625	1	0	1	0	0	0	0	0	0	0	0	0	4857.json	
792	8	0.0	0.5755033493041992	0.31371714629094594	1	1	2	2.4	1	0	42.0	109.36935424804688	1	0	0	1	0	0	0	0	0	0	0	0	5358.json	
2488	7	0.0	0.0015862290747463703	0.01694174420259371	0	0	1	3.46	0	3	54.0	110.13446044921875	1	1	0	2	0	0	0	0	0	0	0	0	2100.json	
2687	20,20	0.25,0.25	0.01437033899128437,0.00918626133352518	0.023823452849730566,0.014715696820206901	0,0	0,0	5,5	3.73,3.73	1,1	13,13	95.0,97.0	88.72293090820312,88.58623504638672	1,1	0,0	0,0	0,0	1,1	0,126	0,1	0,2	0,12	0,239	0,0	0,0	10043.json	
868	7	0.0	0.8678460717201233	0.5077417420167857	1	1	2	2.56	1	3	42.0	111.66191101074219	1	0	0	1	1	0	0	0	0	0	0	0	6940.json	
1402	3	0.0	0.6580539345741272	0.910639458990972	0	0	1	1.89	0	0	17.0	131.28770446777344	1	0	1	1	0	0	0	0	0	0	0	0	7128.json	
3037	7	0.0	0.8728625774383545	0.7273964118364565	0	0	2	3.02	1	0	33.0	113.13916015625	1	1	0	1	0	0	0	0	0	0	0	0	8631.json	
2960	6,6,6	0.0,0.3333333333333333,0.0	0.014913681894540787,0.01168454997241497,0.01497187465429306	0.06916116857722943,0.1354163567792284,0.06788577529433067	0,0,0	0,0,0	2,2,2	2.75,2.4,2.75	0,0,0	3,3,3	46.0,46.0,46.0	113.3332290649414,113.3332290649414,113.3332290649414	1,1,1	0,0,0	0,0,0	0,0,0	2,2,2	0,1174,1174	0,3,0	0,4,2	0,162,158	0,16,19	0,0,0	0,0,1	8839.json	
1226	13	0.23076923076923078	0.05475015193223953	0.04380466024694745	0	0	1	3.16	0	9	74.0	98.51545715332031	0	1	0	0	1	0	0	0	0	0	0	0	11075.json	
840	3	0.0	0.25136250257492065	0.8991543508022709	0	0	1	0.94	0	1	15.0	132.25152587890625	1	0	0	0	0	0	0	0	0	0	0	0	5893.json	
