Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1920	4	0.5	0.5482996106147766	0.8439059950865934	0	0	1	1.89	0	3	23.0	124.92120361328125	1	0	0	0	0	0	0	0	0	0	0	0	1182.json	
1373	13	0.0	0.03992825374007225	3.210575765935058E-5	0	0	1	2.89	0	10	101.0	96.332275390625	1	0	0	0	5	0	0	0	0	0	0	0	801.json	
1904	3	0.0	0.8481255173683167	0.8782483412493923	0	0	1	3.77	0	0	14.0	132.4454345703125	1	0	0	0	0	0	0	0	0	0	0	0	1139.json	
1849	11,11,11,11	0.0,0.0,0.0,0.0	0.07225149124860764,0.053313542157411575,0.053313542157411575,0.03116612136363983	0.020012477220918767,0.007651800265853819,0.007624544145300277,0.005410099399645167	1,1,1,1	1,1,1,1	3,3,3,3	11.22,11.22,11.22,11.22	2,2,2,2	4,4,4,4	57.0,61.0,61.0,63.0	101.93840789794922,101.4668197631836,101.4668197631836,101.29906463623047	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,24,168,822	0,1,1,1	0,2,2,2	0,15,4,3	0,2,2,11	0,0,0,0	0,0,0,0	711.json	
1920	5,3,6,6,7	0.0,0.0,0.0,0.0,0.0	0.39032602310180664,0.5656160712242126,0.1008596420288086,0.10600675642490387,0.02959289215505123	0.10729775634433243,0.48479627242640966,0.01391366858401907,0.011640924558561666,0.25987214268969316	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.92,3.77,2.98,2.98,10.35	0,0,0,0,0	4,3,7,8,3	40.0,23.0,56.0,57.0,37.0	117.46711730957031,129.34671020507812,112.49044799804688,112.39840698242188,112.48464965820312	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	2,0,1,1,1	0,1,89,98,98	0,1,5,1,5	0,5,6,2,10	0,122,197,6,171	0,16,5,12,11	0,0,0,0,0	0,0,0,0,0	1170.json	
1849	3	0.0	0.7601003050804138	0.6281050947621124	0	0	1	3.77	0	3	20.0	130.30841064453125	1	0	0	1	0	0	0	0	0	0	0	0	1058.json	
1731	3	0.0	0.47116780281066895	0.7572122070124507	0	0	1	3.77	0	1	17.0	131.28770446777344	1	0	1	0	0	0	0	0	0	0	0	0	213.json	
1849	3	0.0	0.538912296295166	0.5103063618953411	0	0	1	3.77	0	2	24.0	129.2378692626953	1	0	0	1	0	0	0	0	0	0	0	0	944.json	
1849	3	0.0	0.5837270617485046	0.8421055137332182	0	0	1	3.77	0	1	17.0	131.28770446777344	1	0	0	1	0	0	0	0	0	0	0	0	391.json	
1775	23,23,24,24,24,23,23,23,23,27	0.13043478260869565,0.13043478260869565,0.125,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0	0.0011727417586371303,0.0011727417586371303,5.2728655282408E-4,3.512635885272175E-4,1.4479963283520192E-4,2.976132382173091E-4,3.0095214606262743E-4,3.677353379316628E-4,3.1109919655136764E-4,0.0	2.0031068484089626E-10,2.0031068484089626E-10,1.751684196045934E-11,1.2700955086853815E-11,9.844590654014087E-12,1.0094737551709846E-11,6.679426833062748E-12,6.6906349363540464E-12,6.777767008812527E-12,1.1403737459913513E-12	7,7,7,7,7,7,7,7,7,8	6,6,6,6,6,6,6,6,6,7	6,6,6,6,6,6,6,6,6,7	5.11,5.11,5.03,5.15,5.68,5.5,5.5,5.5,5.5,5.33	2,2,2,2,2,2,2,2,2,2	17,17,20,17,18,17,17,17,17,19	186.0,186.0,200.0,199.0,201.0,191.0,193.0,193.0,193.0,211.0	82.25870513916016,82.25870513916016,81.1389389038086,81.1479721069336,81.06275939941406,82.06783294677734,82.01366424560547,82.01366424560547,82.01366424560547,78.70540618896484	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,4,4,4,4,4,4,4	7,7,8,7,7,6,6,6,6,6	0,0,4,4,43,44,44,112,126,332	0,0,5,7,3,1,1,1,1,5	0,0,8,15,5,8,2,2,2,5	0,0,81,166,130,353,3,17,13,153	0,0,2,2,1,2,1,1,15,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	847.json	
