Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
7052	4	0.0	0.9136107563972473	0.957670619538832	0	0	1	1.66	0	1	15.0	127.42622375488281	1	0	1	0	0	0	0	0	0	0	0	0	1182.json	
5083	6	0.0	0.8299559354782104	0.7962887914108927	2	1	2	2.75	1	1	30.0	116.13201141357422	0	0	0	0	0	0	0	0	0	0	0	0	3371.json	
7052	4	0.0	0.8861075639724731	0.9491627509844611	0	0	1	1.73	0	1	15.0	127.42622375488281	1	0	1	0	0	0	0	0	0	0	0	0	801.json	
6436	3	0.3333333333333333	0.05419876053929329	0.6324373353876731	0	0	1	1.89	0	0	22.0	129.47398376464844	1	0	0	2	0	0	0	0	0	0	0	0	4804.json	
6922	3	0.0	0.5088682770729065	0.7851279098883973	0	0	1	0.94	0	1	18.0	130.85629272460938	1	0	0	1	0	0	0	0	0	0	0	0	9048.json	
3749	28,28,17	0.14285714285714285,0.14285714285714285,0.058823529411764705	0.00862225703895092,0.008609936572611332,0.28973954916000366	0.002916289344811704,0.0017519234163035162,0.09150697676085576	6,6,3	8,8,4	8,8,5	5.41,5.41,6.14	4,4,4	8,8,4	126.0,128.0,74.0	81.52780151367188,81.40486907958984,93.20172882080078	1,1,1	0,0,0	0,0,0	0,0,0	4,4,2	0,1,69	0,4,2	0,8,18	0,15,709	0,5,4	0,0,1	0,0,1	2809.json	
4204	14	0.21428571428571427	0.7839459180831909	0.11093126378900624	3	3	4	2.22	1	3	73.0	96.96907043457031	1	0	0	0	2	0	0	0	0	0	0	0	6035.json	
7052	4	0.0	0.5156047940254211	0.9464360984444545	0	0	1	1.73	0	1	15.0	127.27810668945312	1	0	0	1	0	0	0	0	0	0	0	0	1139.json	
6941	9,9,9,9	0.0,0.0,0.0,0.0	0.4894813597202301,0.5018753409385681,0.5132818818092346,0.5132818818092346	0.9056109224491498,0.9516684784037794,0.9326330149276453,0.9326330149276453	1,1,1,1	1,1,1,1	2,2,2,2	2.95,2.95,2.95,2.95	1,1,1,1	1,1,1,1	32.0,30.0,31.0,31.0	109.40169525146484,109.93753051757812,109.66315460205078,109.66315460205078	0,0,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,505,534,569	0,1,1,0	0,2,2,0	0,18,7,0	0,1046,12,305	0,0,0,0	0,0,0,0	8541.json	
7073	4,4	2.25,0.0	0.004884380381554365,0.6954440474510193	0.9968688542118612,0.7662026931431604	0,0	0,0	1,1	5.43,1.73	0,0	1,1	19.0,19.0	125.79222106933594,125.79222106933594	1,1	1,1	0,0	1,1	0,0	0,76	0,0	0,11	0,673	0,6	0,0	0,0	1421.json	
